x,y,area,max_scoreImg,max_innerToRing,nr
394.32,426.52,12.0,37.0,35.3,10
394.17,424.38,10.0,34.0,32.9,11
394.43,421.67,13.0,33.0,30.3,12
394.99,418.65,10.0,35.0,33.6,13
394.98,415.83,11.0,32.0,31.5,14
395.05,413.72,12.0,34.0,31.6,15
395.24,411.71,11.0,32.0,29.9,16
395.44,409.21,11.0,35.0,33.3,17
396.2,408.27,13.0,34.0,32.3,18
397.78,408.92,11.0,32.0,30.7,19
399.53,409.98,11.0,40.0,36.5,20
401.18,411.33,14.0,30.0,28.0,21
401.58,415.24,10.0,32.0,28.8,22
401.83,419.02,12.0,33.0,29.2,23
403.74,423.33,8.0,33.0,26.7,24
409.52,426.55,10.0,32.0,28.3,25
414.4,429.76,12.0,30.0,26.8,26
418.34,432.73,12.0,31.0,27.9,27
420.58,435.62,13.0,31.0,27.4,28
634.0,255.0,1.0,15.0,11.3,29
421.46,439.16,11.0,39.0,34.8,29
617.0,255.0,1.0,15.0,11.2,30
421.92,442.53,11.0,28.0,22.5,30
602.0,254.0,1.0,20.0,17.4,31
421.69,444.56,11.0,31.0,28.7,31
588.5,253.0,2.0,14.0,12.4,32
421.2,445.63,11.0,39.0,35.7,32
575.0,252.0,1.0,14.0,11.8,33
420.3,446.65,11.0,38.0,34.6,33
563.0,250.0,1.0,19.0,17.7,34
419.02,446.71,10.0,33.0,31.3,34
416.77,445.82,11.0,32.0,30.6,35
415.08,446.29,12.0,36.0,31.5,36
418.07,452.13,9.0,27.0,23.8,37
421.53,461.58,10.0,25.0,21.3,38
424.06,471.08,9.0,24.0,19.3,39
427.5,478.55,4.0,22.0,19.3,40
462.05,475.74,9.0,22.0,16.0,51
466.73,464.62,9.0,21.0,19.6,52
471.21,452.92,8.0,24.0,22.5,53
475.95,440.16,8.0,23.0,16.2,54
480.38,427.38,9.0,24.0,19.5,55
484.98,413.17,8.0,26.0,21.1,56
490.39,399.38,9.0,22.0,18.4,57
495.78,385.23,7.0,22.0,16.3,58
501.18,371.49,8.0,22.0,16.5,59
506.26,357.58,11.0,24.0,20.7,60
511.27,344.05,12.0,26.0,20.6,61
516.28,330.99,10.0,26.0,20.9,62
521.93,318.52,11.0,25.0,20.8,63
411.0,409.0,1.0,14.0,11.0,65
475.0,366.0,1.0,15.0,10.5,73
