nr,datetime
0,2022-06-23 21:41:58.701641000
1,2022-06-23 21:41:58.768307800
2,2022-06-23 21:41:58.834974600
3,2022-06-23 21:41:58.901641400
4,2022-06-23 21:41:58.968308200
5,2022-06-23 21:41:59.034975000
6,2022-06-23 21:41:59.101641800
7,2022-06-23 21:41:59.168308600
8,2022-06-23 21:41:59.234975400
9,2022-06-23 21:41:59.301642200
10,2022-06-23 21:41:59.368309000
11,2022-06-23 21:41:59.434975800
12,2022-06-23 21:41:59.501642600
13,2022-06-23 21:41:59.568309400
14,2022-06-23 21:41:59.634976200
15,2022-06-23 21:41:59.701643000
16,2022-06-23 21:41:59.768309800
17,2022-06-23 21:41:59.834976600
18,2022-06-23 21:41:59.901643400
19,2022-06-23 21:41:59.968310200
20,2022-06-23 21:42:00.034977000
21,2022-06-23 21:42:00.101643800
22,2022-06-23 21:42:00.168310600
23,2022-06-23 21:42:00.234977400
24,2022-06-23 21:42:00.301644200
25,2022-06-23 21:42:00.368311000
26,2022-06-23 21:42:00.434977800
27,2022-06-23 21:42:00.501644600
28,2022-06-23 21:42:00.568311400
29,2022-06-23 21:42:00.634978200
30,2022-06-23 21:42:00.701645000
31,2022-06-23 21:42:00.768311800
32,2022-06-23 21:42:00.834978600
33,2022-06-23 21:42:00.901645400
34,2022-06-23 21:42:00.968312200
35,2022-06-23 21:42:01.034979000
36,2022-06-23 21:42:01.101645800
37,2022-06-23 21:42:01.168312600
38,2022-06-23 21:42:01.234979400
39,2022-06-23 21:42:01.301646200
40,2022-06-23 21:42:01.368313000
41,2022-06-23 21:42:01.434979800
42,2022-06-23 21:42:01.501646600
43,2022-06-23 21:42:01.568313400
44,2022-06-23 21:42:01.634980200
45,2022-06-23 21:42:01.701647000
46,2022-06-23 21:42:01.768313800
47,2022-06-23 21:42:01.834980600
48,2022-06-23 21:42:01.901647400
49,2022-06-23 21:42:01.968314200
50,2022-06-23 21:42:02.034981000
51,2022-06-23 21:42:02.101647800
52,2022-06-23 21:42:02.168314600
53,2022-06-23 21:42:02.234981400
54,2022-06-23 21:42:02.301648200
55,2022-06-23 21:42:02.368315000
56,2022-06-23 21:42:02.434981800
57,2022-06-23 21:42:02.501648600
58,2022-06-23 21:42:02.568315400
59,2022-06-23 21:42:02.634982200
60,2022-06-23 21:42:02.701649000
61,2022-06-23 21:42:02.768315800
62,2022-06-23 21:42:02.834982600
63,2022-06-23 21:42:02.901649400
64,2022-06-23 21:42:02.968316200
65,2022-06-23 21:42:03.034983000
66,2022-06-23 21:42:03.101649800
67,2022-06-23 21:42:03.168316600
68,2022-06-23 21:42:03.234983400
69,2022-06-23 21:42:03.301650200
70,2022-06-23 21:42:03.368317000
71,2022-06-23 21:42:03.434983800
72,2022-06-23 21:42:03.501650600
73,2022-06-23 21:42:03.568317400
74,2022-06-23 21:42:03.634984200
75,2022-06-23 21:42:03.701651000
76,2022-06-23 21:42:03.768317800
77,2022-06-23 21:42:03.834984600
78,2022-06-23 21:42:03.901651400
79,2022-06-23 21:42:03.968318200
80,2022-06-23 21:42:04.034985000
81,2022-06-23 21:42:04.101651800
82,2022-06-23 21:42:04.168318600
83,2022-06-23 21:42:04.234985400
84,2022-06-23 21:42:04.301652200
85,2022-06-23 21:42:04.368319000
86,2022-06-23 21:42:04.434985800
87,2022-06-23 21:42:04.501652600
88,2022-06-23 21:42:04.568319400
89,2022-06-23 21:42:04.634986200
90,2022-06-23 21:42:04.701653000
91,2022-06-23 21:42:04.768319800
92,2022-06-23 21:42:04.834986600
93,2022-06-23 21:42:04.901653400
94,2022-06-23 21:42:04.968320200
95,2022-06-23 21:42:05.034987000
96,2022-06-23 21:42:05.101653800
97,2022-06-23 21:42:05.168320600
98,2022-06-23 21:42:05.234987400
99,2022-06-23 21:42:05.301654200
100,2022-06-23 21:42:05.368321000
101,2022-06-23 21:42:05.434987800
102,2022-06-23 21:42:05.501654600
103,2022-06-23 21:42:05.568321400
104,2022-06-23 21:42:05.634988200
105,2022-06-23 21:42:05.701655000
106,2022-06-23 21:42:05.768321800
107,2022-06-23 21:42:05.834988600
108,2022-06-23 21:42:05.901655400
109,2022-06-23 21:42:05.968322200
110,2022-06-23 21:42:06.034989000
111,2022-06-23 21:42:06.101655800
112,2022-06-23 21:42:06.168322600
113,2022-06-23 21:42:06.234989400
114,2022-06-23 21:42:06.301656200
115,2022-06-23 21:42:06.368323000
116,2022-06-23 21:42:06.434989800
117,2022-06-23 21:42:06.501656600
118,2022-06-23 21:42:06.568323400
119,2022-06-23 21:42:06.634990200
120,2022-06-23 21:42:06.701657000
121,2022-06-23 21:42:06.768323800
122,2022-06-23 21:42:06.834990600
123,2022-06-23 21:42:06.901657400
124,2022-06-23 21:42:06.968324200
125,2022-06-23 21:42:07.034991000
126,2022-06-23 21:42:07.101657800
127,2022-06-23 21:42:07.168324600
128,2022-06-23 21:42:07.234991400
129,2022-06-23 21:42:07.301658200
130,2022-06-23 21:42:07.368325000
131,2022-06-23 21:42:07.434991800
132,2022-06-23 21:42:07.501658600
133,2022-06-23 21:42:07.568325400
134,2022-06-23 21:42:07.634992200
135,2022-06-23 21:42:07.701659000
136,2022-06-23 21:42:07.768325800
137,2022-06-23 21:42:07.834992600
138,2022-06-23 21:42:07.901659400
139,2022-06-23 21:42:07.968326200
140,2022-06-23 21:42:08.034993000
141,2022-06-23 21:42:08.101659800
142,2022-06-23 21:42:08.168326600
143,2022-06-23 21:42:08.234993400
144,2022-06-23 21:42:08.301660200
145,2022-06-23 21:42:08.368327000
146,2022-06-23 21:42:08.434993800
147,2022-06-23 21:42:08.501660600
148,2022-06-23 21:42:08.568327400
149,2022-06-23 21:42:08.634994200
150,2022-06-23 21:42:08.701661000
151,2022-06-23 21:42:08.768327800
152,2022-06-23 21:42:08.834994600
153,2022-06-23 21:42:08.901661400
154,2022-06-23 21:42:08.968328200
155,2022-06-23 21:42:09.034995000
156,2022-06-23 21:42:09.101661800
157,2022-06-23 21:42:09.168328600
158,2022-06-23 21:42:09.234995400
159,2022-06-23 21:42:09.301662200
160,2022-06-23 21:42:09.368329000
161,2022-06-23 21:42:09.434995800
162,2022-06-23 21:42:09.501662600
163,2022-06-23 21:42:09.568329400
164,2022-06-23 21:42:09.634996200
165,2022-06-23 21:42:09.701663000
166,2022-06-23 21:42:09.768329800
167,2022-06-23 21:42:09.834996600
168,2022-06-23 21:42:09.901663400
169,2022-06-23 21:42:09.968330200
170,2022-06-23 21:42:10.034997000
171,2022-06-23 21:42:10.101663800
172,2022-06-23 21:42:10.168330600
173,2022-06-23 21:42:10.234997400
174,2022-06-23 21:42:10.301664200
175,2022-06-23 21:42:10.368331000
176,2022-06-23 21:42:10.434997800
177,2022-06-23 21:42:10.501664600
178,2022-06-23 21:42:10.568331400
179,2022-06-23 21:42:10.634998200
180,2022-06-23 21:42:10.701665000
181,2022-06-23 21:42:10.768331800
182,2022-06-23 21:42:10.834998600
183,2022-06-23 21:42:10.901665400
184,2022-06-23 21:42:10.968332200
185,2022-06-23 21:42:11.034999000
186,2022-06-23 21:42:11.101665800
187,2022-06-23 21:42:11.168332600
188,2022-06-23 21:42:11.234999400
189,2022-06-23 21:42:11.301666200
190,2022-06-23 21:42:11.368333000
191,2022-06-23 21:42:11.434999800
192,2022-06-23 21:42:11.501666600
193,2022-06-23 21:42:11.568333400
194,2022-06-23 21:42:11.635000200
195,2022-06-23 21:42:11.701667000
196,2022-06-23 21:42:11.768333800
197,2022-06-23 21:42:11.835000600
198,2022-06-23 21:42:11.901667400
199,2022-06-23 21:42:11.968334200
200,2022-06-23 21:42:12.035001000
201,2022-06-23 21:42:12.101667800
