nr,datetime,x1,y1,x2,y2
1037,2022-06-23 21:43:07.835112600,262.52,189.78,279.96,382.09
1642,2022-06-23 21:43:48.168526600,246.86,66.87,283.26,142.9
2005,2022-06-23 21:44:12.368575,317.97,62.51,360.48,90.17
2663,2022-06-23 21:44:56.235329400,475.0,98.5,519.22,103.09
2943,2022-06-23 21:45:14.902033400,343.57,55.15,387.51,78.41
3522,2022-06-23 21:45:53.502110600,279.59,398.36,296.49,436.33
3809,2022-06-23 21:46:12.635482200,499.88,411.08,513.33,436.01
4322,2022-06-23 21:46:46.835550600,356.78,199.5,388.0,241.0
