x,y,area,max_scoreImg,max_innerToRing,nr
170.0,185.0,1.0,15.0,12.3,270
274.0,170.0,1.0,14.0,12.9,479
0.0,466.48,2.0,15.0,12.7,550
0.2,466.59,5.0,62.0,59.3,551
0.87,466.36,7.0,68.0,63.9,552
1.93,466.32,7.0,73.0,68.5,553
3.05,466.2,8.0,78.0,73.6,554
4.08,466.15,8.0,83.0,76.7,555
5.28,466.02,7.0,82.0,73.8,556
6.39,465.96,8.0,82.0,74.4,557
7.45,465.89,8.0,80.0,71.3,558
8.51,465.84,8.0,76.0,66.7,559
9.71,465.73,8.0,69.0,62.7,560
10.79,465.55,6.0,64.0,53.3,561
11.87,465.4,7.0,73.0,61.2,562
12.98,465.27,8.0,78.0,66.7,563
14.06,465.21,8.0,87.0,76.4,564
15.15,465.15,8.0,92.0,83.2,565
16.23,465.05,8.0,89.0,80.3,566
17.37,464.94,7.0,91.0,83.4,567
18.48,464.87,8.0,84.0,75.4,568
19.63,464.78,9.0,78.0,69.3,569
20.77,464.57,8.0,72.0,63.3,570
21.69,464.52,9.0,72.0,62.3,571
22.69,464.48,9.0,76.0,66.2,572
23.63,464.48,9.0,74.0,66.9,573
24.44,464.32,10.0,81.0,75.7,574
25.12,464.26,8.0,92.0,85.0,575
25.93,464.24,8.0,91.0,85.2,576
26.73,464.27,7.0,81.0,75.8,577
27.36,464.23,9.0,90.0,87.3,578
28.0,464.27,8.0,94.0,88.9,579
28.78,464.3,7.0,88.0,80.4,580
29.43,464.24,7.0,83.0,78.6,581
30.2,464.21,9.0,97.0,91.3,582
31.02,464.17,8.0,56.0,51.3,583
31.77,464.07,9.0,88.0,74.5,584
32.19,464.0,8.0,100.0,95.3,585
32.88,464.02,9.0,107.0,101.2,586
33.8,463.95,8.0,96.0,88.5,587
34.6,463.96,7.0,100.0,97.6,588
35.29,463.9,7.0,105.0,99.3,589
36.21,463.79,8.0,105.0,99.7,590
36.99,463.86,9.0,102.0,97.0,591
38.03,463.7,9.0,96.0,92.2,592
38.98,463.63,10.0,97.0,91.1,593
40.03,463.51,9.0,92.0,86.6,594
41.07,463.47,9.0,91.0,85.5,595
42.11,463.45,9.0,88.0,82.3,596
43.24,463.43,10.0,88.0,82.8,597
44.38,463.48,12.0,86.0,79.3,598
45.42,463.35,10.0,84.0,78.7,599
46.57,463.37,8.0,85.0,80.1,600
47.6,463.29,9.0,89.0,84.1,601
48.71,463.25,9.0,96.0,88.1,602
49.78,463.14,9.0,101.0,95.3,603
50.83,463.09,9.0,106.0,100.7,604
51.9,463.03,9.0,106.0,98.3,605
52.97,463.02,8.0,110.0,104.0,606
53.98,462.96,9.0,112.0,107.4,607
55.12,462.87,9.0,114.0,110.0,608
56.18,462.84,7.0,114.0,109.5,609
57.25,462.73,11.0,106.0,101.7,610
58.32,462.54,11.0,98.0,92.4,611
59.44,462.48,12.0,88.0,82.1,612
60.56,462.27,9.0,94.0,88.5,613
61.66,462.15,10.0,101.0,94.3,614
62.77,462.03,9.0,102.0,97.5,615
63.79,461.92,8.0,106.0,104.1,616
64.89,461.83,10.0,107.0,106.1,617
65.95,461.64,10.0,108.0,105.4,618
66.99,461.56,10.0,103.0,97.4,619
68.05,461.46,9.0,96.0,90.0,620
242.0,191.0,1.0,14.0,11.8,621
69.16,461.35,10.0,97.0,92.2,621
70.25,461.23,9.0,106.0,99.9,622
71.29,461.16,9.0,111.0,105.1,623
