nr,datetime,x1,y1,x2,y2
1096,2024-04-05 11:02:30.357884800,211.49,356.36,135.05,357.43
1456,2024-04-05 11:02:54.357932800,455.3,430.21,402.79,444.21
1796,2024-04-05 11:03:17.024644800,496.37,83.74,452.68,75.02
2264,2024-04-05 11:03:48.224707200,383.84,43.58,250.52,24.87
2848,2024-04-05 11:04:27.158118400,178.39,30.67,157.86,22.25
3272,2024-04-05 11:04:55.424841600,368.79,181.1,359.38,179.63
