x,y,area,max_scoreImg,max_innerToRing,nr
559.0,241.0,1.0,18.0,9.3,18
559.0,241.0,1.0,17.0,10.4,19
559.0,241.0,1.0,18.0,10.5,20
559.0,241.0,1.0,16.0,12.1,40
559.0,241.0,1.0,14.0,11.8,47
559.0,241.0,1.0,17.0,11.3,53
559.0,241.0,1.0,15.0,11.8,61
559.0,241.0,1.0,16.0,11.9,62
559.0,241.0,1.0,15.0,11.3,64
559.0,241.0,1.0,16.0,13.9,65
559.0,241.0,1.0,16.0,9.7,91
559.0,241.0,1.0,15.0,10.7,92
559.0,241.0,1.0,15.0,9.4,102
559.0,241.0,1.0,14.0,9.4,105
559.0,241.0,1.0,17.0,12.0,107
559.0,241.0,1.0,17.0,10.4,119
559.0,241.0,1.0,15.0,12.3,127
559.0,241.0,1.0,15.0,13.0,138
559.0,241.0,1.0,15.0,10.4,147
559.0,241.0,1.0,15.0,13.8,160
559.0,241.0,1.0,18.0,12.1,168
559.0,241.0,1.0,15.0,10.4,169
559.0,241.0,1.0,15.0,10.0,179
559.0,241.0,1.0,16.0,9.2,181
559.0,241.0,1.0,18.0,16.2,191
559.0,241.0,1.0,18.0,17.3,198
559.0,241.0,1.0,15.0,14.4,205
559.0,241.0,1.0,17.0,15.2,206
559.0,241.0,1.0,15.0,15.1,228
559.0,241.0,1.0,15.0,14.3,229
559.0,241.0,1.0,16.0,12.8,247
559.0,241.0,1.0,16.0,11.8,250
559.0,241.0,1.0,17.0,9.4,266
559.0,241.0,1.0,17.0,9.6,316
559.0,241.0,1.0,15.0,13.2,343
126.0,153.0,1.0,14.0,76.1,347
559.0,241.0,1.0,15.0,11.1,358
559.0,241.0,1.0,16.0,11.6,362
559.0,241.0,1.0,17.0,13.4,376
559.0,241.0,1.0,15.0,10.3,391
559.0,241.0,1.0,14.0,11.1,394
559.0,241.0,1.0,15.0,14.0,397
559.0,241.0,1.0,17.0,13.8,433
559.0,241.0,1.0,18.0,12.3,448
559.0,241.0,1.0,18.0,12.7,453
559.0,241.0,1.0,16.0,9.9,488
559.0,241.0,1.0,15.0,10.2,492
559.0,241.0,1.0,16.0,9.7,501
559.0,241.0,1.0,20.0,12.8,502
559.0,241.0,1.0,17.0,13.9,517
559.0,241.0,1.0,21.0,13.8,544
559.0,241.0,1.0,18.0,14.3,546
559.0,241.0,1.0,17.0,12.2,557
