x,y,area,max_scoreImg,max_innerToRing,nr
78.53,78.53,2.0,17.0,48.5,25
86.48,83.0,2.0,16.0,17.5,25
205.0,145.0,1.0,15.0,82.7,27
66.94,177.44,42.0,29.0,10.4,27
64.73,136.98,61.0,42.0,28.1,28
66.27,177.16,46.0,31.0,19.7,28
63.14,177.13,50.0,29.0,23.5,29
65.73,136.95,57.0,42.0,40.3,31
64.22,177.01,42.0,32.0,18.6,31
65.45,136.34,58.0,42.0,39.7,32
65.71,136.28,57.0,36.0,39.6,33
65.05,136.45,49.0,42.0,40.2,34
65.44,136.14,55.0,39.0,35.2,35
65.93,177.25,52.0,28.0,35.1,39
66.08,177.23,39.0,34.0,32.2,40
207.0,144.0,1.0,17.0,74.0,43
64.41,136.6,59.0,39.0,26.9,44
65.01,136.47,61.0,38.0,28.9,45
64.83,136.88,58.0,42.0,25.6,46
65.53,136.78,59.0,40.0,29.6,49
66.99,176.98,42.0,30.0,14.3,49
65.78,136.32,55.0,43.0,10.6,50
65.41,136.31,59.0,35.0,33.3,51
63.72,177.37,42.0,33.0,23.3,51
70.26,253.08,64.0,47.0,28.1,51
65.15,136.14,60.0,42.0,34.4,52
74.69,466.76,61.0,42.0,36.2,52
65.07,135.77,61.0,40.0,31.4,53
64.63,177.4,48.0,33.0,25.1,53
65.02,135.59,62.0,40.0,30.7,54
64.57,177.02,46.0,32.0,22.6,54
69.64,254.08,62.0,43.0,36.3,54
67.04,136.08,40.0,35.0,17.5,59
65.98,176.84,44.0,33.0,37.7,60
66.3,176.93,44.0,27.0,36.6,61
64.65,136.85,55.0,39.0,28.1,63
65.83,177.09,44.0,30.0,31.2,63
64.84,136.81,56.0,41.0,25.9,64
66.45,176.98,39.0,33.0,33.0,64
65.14,137.14,56.0,41.0,29.6,65
205.0,145.0,1.0,16.0,71.6,66
65.08,136.82,64.0,40.0,31.9,67
65.06,136.65,61.0,39.0,37.6,68
65.3,136.63,58.0,40.0,39.5,69
65.26,136.16,55.0,41.0,41.4,70
71.44,253.86,50.0,43.0,24.9,70
199.0,142.0,1.0,15.0,74.4,71
65.07,135.85,62.0,37.0,34.8,72
65.49,177.01,48.0,28.0,19.2,72
