nr,datetime,x1,y1,x2,y2
7673,2021-08-11 18:36:42.453238200,282.54,427.81,374.05,415.36
8708,2021-08-11 18:37:16.953307200,263.26,239.53,260.24,238.77
9910,2021-08-11 18:37:57.020054,171.81,308.0,132.46,300.45
11028,2021-08-11 18:38:34.286795200,254.0,200.0,180.0,197.0
14639,2021-08-11 18:40:34.653702600,372.0,359.52,272.35,357.25
16928,2021-08-11 18:41:50.953855200,394.61,287.0,311.68,287.68
