nr,datetime
0,2024-04-05 10:48:57.281940000
1,2024-04-05 10:48:57.348606800
2,2024-04-05 10:48:57.415273600
3,2024-04-05 10:48:57.481940400
4,2024-04-05 10:48:57.548607200
5,2024-04-05 10:48:57.615274000
6,2024-04-05 10:48:57.681940800
7,2024-04-05 10:48:57.748607600
8,2024-04-05 10:48:57.815274400
9,2024-04-05 10:48:57.881941200
10,2024-04-05 10:48:57.948608000
11,2024-04-05 10:48:58.015274800
12,2024-04-05 10:48:58.081941600
13,2024-04-05 10:48:58.148608400
14,2024-04-05 10:48:58.215275200
15,2024-04-05 10:48:58.281942000
16,2024-04-05 10:48:58.348608800
17,2024-04-05 10:48:58.415275600
18,2024-04-05 10:48:58.481942400
19,2024-04-05 10:48:58.548609200
20,2024-04-05 10:48:58.615276000
21,2024-04-05 10:48:58.681942800
22,2024-04-05 10:48:58.748609600
23,2024-04-05 10:48:58.815276400
24,2024-04-05 10:48:58.881943200
25,2024-04-05 10:48:58.948610000
26,2024-04-05 10:48:59.015276800
27,2024-04-05 10:48:59.081943600
28,2024-04-05 10:48:59.148610400
29,2024-04-05 10:48:59.215277200
30,2024-04-05 10:48:59.281944000
31,2024-04-05 10:48:59.348610800
32,2024-04-05 10:48:59.415277600
33,2024-04-05 10:48:59.481944400
34,2024-04-05 10:48:59.548611200
35,2024-04-05 10:48:59.615278000
36,2024-04-05 10:48:59.681944800
37,2024-04-05 10:48:59.748611600
38,2024-04-05 10:48:59.815278400
39,2024-04-05 10:48:59.881945200
40,2024-04-05 10:48:59.948612000
41,2024-04-05 10:49:00.015278800
42,2024-04-05 10:49:00.081945600
43,2024-04-05 10:49:00.148612400
44,2024-04-05 10:49:00.215279200
45,2024-04-05 10:49:00.281946000
46,2024-04-05 10:49:00.348612800
47,2024-04-05 10:49:00.415279600
48,2024-04-05 10:49:00.481946400
49,2024-04-05 10:49:00.548613200
50,2024-04-05 10:49:00.615280000
51,2024-04-05 10:49:00.681946800
52,2024-04-05 10:49:00.748613600
53,2024-04-05 10:49:00.815280400
54,2024-04-05 10:49:00.881947200
55,2024-04-05 10:49:00.948614000
56,2024-04-05 10:49:01.015280800
57,2024-04-05 10:49:01.081947600
58,2024-04-05 10:49:01.148614400
59,2024-04-05 10:49:01.215281200
60,2024-04-05 10:49:01.281948000
61,2024-04-05 10:49:01.348614800
62,2024-04-05 10:49:01.415281600
63,2024-04-05 10:49:01.481948400
64,2024-04-05 10:49:01.548615200
65,2024-04-05 10:49:01.615282000
66,2024-04-05 10:49:01.681948800
67,2024-04-05 10:49:01.748615600
68,2024-04-05 10:49:01.815282400
69,2024-04-05 10:49:01.881949200
70,2024-04-05 10:49:01.948616000
71,2024-04-05 10:49:02.015282800
72,2024-04-05 10:49:02.081949600
73,2024-04-05 10:49:02.148616400
74,2024-04-05 10:49:02.215283200
75,2024-04-05 10:49:02.281950000
76,2024-04-05 10:49:02.348616800
77,2024-04-05 10:49:02.415283600
78,2024-04-05 10:49:02.481950400
79,2024-04-05 10:49:02.548617200
80,2024-04-05 10:49:02.615284000
81,2024-04-05 10:49:02.681950800
82,2024-04-05 10:49:02.748617600
83,2024-04-05 10:49:02.815284400
