nr,datetime,x1,y1,x2,y2
960,2024-04-05 10:50:01.282068,382.34,116.48,379.48,113.03
2096,2024-04-05 10:51:17.015552800,398.73,334.0,415.72,339.47
2614,2024-04-05 10:51:51.548955200,185.29,353.18,190.5,353.74
2967,2024-04-05 10:52:15.082335600,111.36,183.26,115.24,178.79
3857,2024-04-05 10:53:14.415787600,78.0,36.4,94.0,30.42
4974,2024-04-05 10:54:28.882603200,247.42,320.61,262.15,322.0
5354,2024-04-05 10:54:54.215987200,361.61,318.0,382.0,322.24
