nr,datetime,x1,y1,x2,y2
1368,2024-04-05 11:16:08.512098400,350.55,257.38,125.09,252.02
3303,2024-04-05 11:18:17.512356400,255.21,295.59,248.82,296.11
3867,2024-04-05 11:18:55.112431599,520.49,347.79,509.73,357.62
4969,2024-04-05 11:20:08.579245200,327.58,16.18,321.15,8.42
5627,2024-04-05 11:20:52.445999600,413.32,306.4,434.84,311.29
6766,2024-04-05 11:22:08.379484800,409.34,52.93,381.73,44.26
7074,2024-04-05 11:22:28.912859200,479.25,320.11,435.35,327.6
