x,y,area,max_scoreImg,max_innerToRing,nr
363.89,464.81,28.0,255.0,310.9,10
364.44,461.99,26.0,242.0,237.5,11
364.96,459.18,27.0,255.0,287.1,12
365.48,456.34,27.0,240.0,235.7,13
366.04,453.54,24.0,255.0,309.2,14
366.54,450.64,27.0,255.0,262.0,15
367.11,447.84,26.0,255.0,311.4,16
367.62,444.95,28.0,255.0,277.0,17
368.19,442.09,26.0,255.0,277.8,18
368.67,439.19,27.0,255.0,274.4,19
369.25,436.31,27.0,255.0,284.1,20
369.75,433.46,27.0,255.0,303.3,21
370.34,430.54,25.0,255.0,285.0,22
370.85,427.65,26.0,255.0,322.9,23
371.41,424.72,25.0,255.0,268.5,24
371.95,421.8,26.0,255.0,330.7,25
372.47,418.83,25.0,255.0,254.7,26
373.06,415.93,25.0,255.0,324.8,27
373.56,412.97,26.0,255.0,281.2,28
374.14,410.0,26.0,255.0,312.0,29
374.66,407.02,28.0,255.0,296.7,30
375.25,404.06,28.0,255.0,297.8,31
375.79,401.07,29.0,255.0,309.1,32
376.33,398.11,26.0,255.0,278.4,33
376.87,395.1,27.0,255.0,317.2,34
377.45,392.06,26.0,255.0,263.4,35
378.0,389.08,27.0,255.0,320.9,36
378.54,386.02,27.0,255.0,275.7,37
379.1,383.02,26.0,255.0,328.0,38
379.64,380.0,28.0,255.0,307.6,39
380.21,376.95,27.0,255.0,320.0,40
380.74,373.91,28.0,255.0,332.5,41
381.34,370.85,26.0,255.0,306.7,42
381.89,367.78,29.0,255.0,344.7,43
382.46,364.71,27.0,255.0,269.2,44
383.04,361.62,27.0,255.0,336.7,45
383.59,358.52,26.0,255.0,285.3,46
384.17,355.42,27.0,255.0,311.0,47
384.7,352.32,30.0,255.0,296.8,48
385.31,349.2,27.0,255.0,293.3,49
385.85,346.08,29.0,255.0,346.3,50
386.44,342.95,27.0,255.0,286.0,51
387.0,339.82,28.0,255.0,354.8,52
387.56,336.69,27.0,255.0,298.6,53
388.15,333.54,28.0,255.0,319.7,54
388.72,330.41,27.0,255.0,301.6,55
389.31,327.2,27.0,255.0,298.0,56
389.85,324.04,29.0,255.0,352.4,57
390.46,320.86,27.0,255.0,287.3,58
391.03,317.65,27.0,255.0,342.8,59
391.59,314.49,27.0,255.0,286.8,60
392.19,311.27,30.0,255.0,315.3,61
392.74,308.06,28.0,255.0,343.5,62
393.93,301.64,29.0,255.0,342.1,64
394.49,298.41,28.0,255.0,267.5,65
395.11,295.17,27.0,255.0,347.2,66
395.67,291.92,29.0,255.0,332.3,67
396.28,288.68,27.0,255.0,318.4,68
396.84,285.44,28.0,255.0,316.5,69
397.46,282.15,28.0,255.0,288.5,70
398.02,278.86,29.0,255.0,357.8,71
398.62,275.6,27.0,255.0,304.5,72
399.23,272.33,27.0,255.0,314.7,73
399.83,269.03,30.0,255.0,356.5,74
400.43,265.72,28.0,255.0,291.9,75
401.01,262.47,28.0,255.0,323.0,76
401.58,259.14,30.0,255.0,321.0,77
402.22,255.81,28.0,255.0,123.0,78
408.9,218.49,25.0,255.0,24.9,89
