x,y,area,max_scoreImg,max_innerToRing,nr
437.63,470.06,29.0,240.0,235.6,10
438.23,467.16,32.0,227.0,222.3,11
559.0,241.0,1.0,17.0,11.0,12
438.85,464.36,31.0,255.0,250.8,12
439.5,461.51,27.0,240.0,233.3,13
440.08,458.62,31.0,255.0,253.6,14
440.71,455.8,29.0,255.0,266.7,15
441.29,452.93,30.0,227.0,221.6,16
441.93,450.09,32.0,247.0,243.3,17
132.0,159.0,1.0,15.0,21.2,18
442.57,447.2,31.0,237.0,232.1,18
443.18,444.34,31.0,250.0,246.6,19
132.0,159.0,1.0,14.0,20.6,20
443.81,441.4,28.0,255.0,270.0,20
444.41,438.48,31.0,238.0,233.6,21
445.02,435.6,31.0,255.0,273.4,22
445.64,432.62,29.0,255.0,274.7,23
446.31,429.66,28.0,253.0,247.7,24
446.91,426.77,30.0,255.0,287.6,25
447.52,423.78,30.0,255.0,270.4,26
559.0,241.0,1.0,14.0,15.6,27
448.15,420.87,31.0,255.0,261.2,27
559.0,241.0,1.0,16.0,16.4,28
448.77,417.92,32.0,255.0,286.2,28
449.42,414.89,30.0,255.0,255.7,29
450.04,411.97,31.0,255.0,277.0,30
450.69,409.0,30.0,255.0,289.8,31
451.29,405.92,29.0,250.0,247.8,32
451.92,402.93,30.0,255.0,296.1,33
452.54,399.9,34.0,255.0,285.3,34
453.17,396.85,31.0,255.0,269.5,35
453.81,393.86,31.0,255.0,305.9,36
454.42,390.74,32.0,255.0,272.1,37
455.06,387.77,32.0,255.0,296.3,38
455.69,384.72,29.0,255.0,307.5,39
456.31,381.63,32.0,255.0,253.5,40
456.96,378.58,32.0,255.0,303.8,41
457.59,375.52,29.0,255.0,292.6,42
458.23,372.41,31.0,255.0,265.2,43
458.86,369.33,31.0,255.0,288.6,44
459.52,366.22,30.0,255.0,276.7,45
460.16,363.06,32.0,255.0,274.7,46
460.78,359.98,31.0,255.0,326.8,47
461.42,356.81,31.0,255.0,283.2,48
462.07,353.72,30.0,255.0,306.6,49
462.69,350.59,29.0,255.0,311.3,50
463.33,347.36,32.0,254.0,248.9,51
463.99,344.31,32.0,255.0,289.5,52
464.59,341.15,32.0,255.0,308.5,53
465.24,337.97,33.0,255.0,279.9,54
465.89,334.87,31.0,255.0,329.2,55
466.55,331.64,29.0,255.0,301.4,56
467.18,328.4,33.0,255.0,277.1,57
