x,y,area,max_scoreImg,max_innerToRing,nr
187.0,414.0,1.0,14.0,11.7,14
436.93,206.71,9.0,15.0,10.1,21
563.77,209.03,4.0,22.0,9.3,42
592.0,58.0,1.0,14.0,12.8,48
564.02,209.02,3.0,20.0,9.5,83
168.0,351.78,4.0,21.0,14.3,106
183.66,336.31,9.0,19.0,13.7,107
198.22,332.43,10.0,26.0,17.6,108
209.66,333.23,11.0,28.0,20.8,109
204.0,50.0,1.0,14.0,11.6,110
219.86,335.42,14.0,29.0,22.2,110
230.43,339.06,11.0,23.0,15.5,111
240.2,342.33,14.0,26.0,18.7,112
249.37,345.6,13.0,25.0,19.8,113
257.88,349.28,14.0,28.0,24.6,114
265.16,353.34,14.0,27.0,20.9,115
271.54,357.55,11.0,31.0,25.4,116
52.0,459.0,1.0,15.0,12.6,116
276.38,362.12,11.0,26.0,22.6,117
51.0,465.0,1.0,16.0,11.9,117
276.34,366.89,13.0,25.0,20.3,118
273.7,371.34,14.0,23.0,17.0,119
270.15,377.47,12.0,24.0,18.9,120
265.2,383.67,9.0,20.0,12.5,121
57.0,474.0,1.0,14.0,9.4,121
260.35,389.98,12.0,22.0,18.2,122
254.5,397.7,10.0,19.0,15.2,123
68.31,448.38,3.0,20.0,17.8,123
248.79,405.74,11.0,22.0,9.9,124
244.66,413.82,10.0,20.0,13.3,125
239.81,422.71,6.0,19.0,10.7,126
235.18,431.07,10.0,20.0,16.4,127
231.53,440.04,6.0,21.0,15.5,128
234.99,441.25,8.0,27.0,20.3,129
242.78,438.68,7.0,26.0,17.9,130
250.04,434.81,10.0,23.0,17.2,131
258.22,430.97,9.0,22.0,15.9,132
266.54,427.53,10.0,29.0,21.7,133
274.36,423.75,10.0,25.0,19.7,134
282.35,420.02,10.0,25.0,19.9,135
290.18,416.67,11.0,24.0,18.5,136
296.4,416.43,15.0,30.0,24.6,137
298.98,419.2,12.0,32.0,24.8,138
299.28,421.82,14.0,29.0,25.0,139
297.8,425.22,13.0,30.0,24.3,140
295.06,428.45,10.0,29.0,22.9,141
289.3,428.09,9.0,24.0,18.3,142
280.67,427.19,6.0,20.0,13.0,143
269.96,426.03,7.0,18.0,10.5,144
248.1,426.85,7.0,20.0,13.5,146
237.05,428.53,4.0,17.0,10.6,147
226.54,430.86,7.0,22.0,19.3,148
223.5,431.14,7.0,27.0,25.4,149
225.74,429.86,7.0,29.0,23.8,150
230.3,428.84,8.0,24.0,22.4,151
236.6,428.84,5.0,25.0,22.3,152
244.96,428.99,7.0,20.0,10.1,153
254.27,429.19,8.0,23.0,16.8,154
264.28,429.84,10.0,26.0,20.8,155
274.49,431.33,7.0,25.0,15.5,156
284.78,432.59,10.0,20.0,12.8,157
562.55,205.32,18.0,25.0,9.1,158
295.4,434.12,8.0,26.0,15.6,158
213.57,405.23,8.0,19.0,13.8,182
205.59,421.31,7.0,20.0,10.6,183
199.29,437.24,6.0,18.0,15.6,184
194.49,454.86,6.0,16.0,10.5,185
254.14,478.4,6.0,21.0,15.9,194
263.6,473.01,10.0,24.0,17.4,195
268.81,471.85,10.0,32.0,27.6,196
268.11,473.35,10.0,26.0,21.6,197
265.78,476.8,11.0,24.0,19.3,198
354.52,449.53,4.0,18.0,9.4,218
360.99,394.53,6.0,18.0,12.9,220
363.99,390.36,14.0,32.0,30.3,221
366.54,394.99,15.0,28.0,27.9,222
368.43,404.08,13.0,20.0,14.0,223
370.65,414.09,14.0,21.0,16.1,224
373.17,425.22,14.0,25.0,18.8,225
376.42,436.94,14.0,20.0,15.6,226
379.88,449.48,13.0,21.0,15.8,227
404.55,479.0,2.0,17.0,14.5,229
172.0,70.0,1.0,17.0,14.3,255
187.0,414.0,1.0,16.0,13.5,258
234.0,339.0,1.0,14.0,13.5,271
398.62,474.83,5.0,24.0,21.5,282
403.37,473.09,7.0,30.0,28.2,283
404.87,475.62,9.0,31.0,27.8,284
27.85,469.14,6.0,17.0,12.9,293
9.0,476.0,1.0,18.0,11.3,295
284.74,265.06,5.0,19.0,12.2,300
270.49,275.49,6.0,15.0,11.8,301
259.16,289.55,9.0,16.0,9.5,302
247.23,303.94,8.0,18.0,12.7,303
9.42,459.48,9.0,22.0,18.0,304
11.83,457.46,8.0,25.0,20.7,305
12.26,457.39,6.0,27.0,22.1,306
204.56,363.35,7.0,18.0,10.0,307
11.0,458.98,3.0,21.0,18.1,307
198.96,374.04,11.0,23.0,15.2,308
4.55,465.0,2.0,17.0,9.6,308
193.65,382.81,10.0,23.0,18.5,309
188.73,392.06,9.0,23.0,19.1,310
184.75,402.19,9.0,22.0,17.6,311
181.42,412.32,9.0,20.0,14.7,312
178.68,421.74,10.0,23.0,18.0,313
176.58,430.35,9.0,26.0,22.3,314
175.56,438.46,11.0,25.0,20.8,315
178.62,447.11,8.0,26.0,18.3,316
363.0,113.0,1.0,18.0,10.0,317
185.82,449.46,10.0,27.0,17.9,317
197.25,440.12,10.0,20.0,11.2,318
208.03,425.28,7.0,18.0,9.1,319
217.04,407.32,7.0,18.0,14.6,320
224.88,387.13,8.0,18.0,10.8,321
231.19,364.61,5.0,16.0,9.9,322
236.91,342.09,8.0,20.0,14.2,323
240.98,326.77,10.0,23.0,19.0,324
241.05,320.96,12.0,28.0,20.7,325
237.58,320.05,16.0,27.0,21.2,326
231.38,321.02,15.0,24.0,16.8,327
223.52,323.12,13.0,23.0,17.3,328
214.28,325.94,13.0,22.0,15.8,329
636.0,101.0,1.0,15.0,13.5,335
96.61,367.57,4.0,27.0,19.8,335
628.0,107.0,1.0,14.0,10.8,336
94.32,363.72,3.0,26.0,20.0,336
620.0,113.0,1.0,16.0,13.9,337
93.42,358.54,4.0,22.0,18.0,337
92.62,351.85,5.0,24.0,17.6,338
601.0,125.0,1.0,15.0,13.1,339
93.33,343.88,5.0,20.0,17.8,339
95.78,335.59,5.0,19.0,12.3,340
99.35,324.67,3.0,18.0,10.4,341
104.59,312.83,7.0,25.0,21.3,342
558.0,151.0,1.0,14.0,12.6,343
113.3,307.36,9.0,21.0,16.2,343
548.0,159.0,1.0,14.0,12.2,344
124.5,307.33,9.0,28.0,21.9,344
538.0,167.0,1.0,14.0,10.8,345
134.56,307.31,9.0,25.0,17.3,345
529.0,175.0,1.0,15.0,12.2,346
143.95,305.81,10.0,26.0,19.5,346
0.0,466.0,1.0,15.0,9.3,346
152.83,304.45,9.0,25.0,18.6,347
160.56,302.42,11.0,28.0,22.0,348
168.04,300.63,9.0,28.0,20.6,349
174.06,298.03,11.0,26.0,20.2,350
25.69,374.8,9.0,25.0,23.0,350
179.91,295.52,10.0,24.0,15.8,351
20.0,381.56,8.0,20.0,16.3,351
184.72,292.74,13.0,30.0,22.5,352
189.67,290.09,15.0,26.0,20.6,353
194.04,287.77,13.0,31.0,28.3,354
199.0,285.8,13.0,26.0,19.9,355
464.0,257.0,1.0,14.0,11.7,356
205.95,284.02,12.0,24.0,16.9,356
459.0,265.0,1.0,16.0,13.5,357
212.23,281.3,13.0,24.0,17.2,357
218.43,279.2,18.0,24.0,22.1,358
224.21,280.22,17.0,28.0,22.8,359
49.0,477.55,4.0,20.0,14.9,359
228.24,284.12,15.0,27.0,20.2,360
232.08,289.13,14.0,30.0,24.1,361
235.63,294.59,14.0,30.0,25.0,362
238.93,301.29,11.0,21.0,13.6,363
74.38,378.69,3.0,18.0,13.5,363
233.86,304.23,10.0,20.0,14.2,364
84.42,363.29,7.0,18.0,11.9,364
95.83,354.56,7.0,23.0,16.0,365
586.0,2.0,1.0,14.0,15.9,366
208.87,305.84,6.0,17.0,9.7,366
107.42,347.31,5.0,21.0,15.2,366
119.91,338.78,10.0,23.0,19.8,367
185.8,311.18,9.0,27.0,23.6,368
124.74,339.28,9.0,29.0,26.6,368
572.0,16.0,1.0,19.0,17.6,369
187.05,314.93,10.0,34.0,26.9,369
125.31,343.56,9.0,33.0,26.8,369
568.0,19.0,1.0,19.0,16.2,370
191.13,318.59,10.0,35.0,25.3,370
125.09,350.16,13.0,29.0,25.8,370
196.06,322.97,9.0,28.0,20.6,371
121.35,362.34,10.0,20.0,14.1,371
201.24,327.43,9.0,29.0,25.3,372
558.0,27.0,1.0,17.0,16.3,373
206.97,332.15,10.0,27.0,22.3,373
110.96,390.76,7.0,17.0,12.1,373
555.0,29.0,1.0,22.0,17.5,374
212.88,337.69,11.0,31.0,24.1,374
107.7,398.58,6.0,30.0,24.4,374
550.0,32.0,1.0,15.0,11.8,375
219.44,332.78,5.0,21.0,13.9,375
108.54,393.52,4.0,24.0,15.7,375
113.06,383.0,5.0,19.0,13.4,376
539.0,39.0,1.0,14.0,10.6,377
119.05,370.98,5.0,19.0,13.1,377
126.32,358.95,5.0,19.0,11.3,378
530.0,44.0,1.0,23.0,18.7,379
135.03,357.13,14.0,28.0,22.0,379
358.0,414.0,1.0,15.0,16.6,379
143.15,362.36,8.0,27.0,19.0,380
522.0,49.0,1.0,14.0,13.0,381
277.77,167.92,14.0,21.0,15.2,381
149.72,369.62,8.0,24.0,17.5,381
291.61,161.14,14.0,22.0,12.2,382
153.48,379.61,10.0,22.0,15.2,382
514.0,56.0,1.0,15.0,11.9,383
303.4,157.65,17.0,24.0,19.6,383
151.11,391.3,13.0,22.0,18.6,383
400.9,472.72,18.0,26.0,20.7,383
511.0,59.0,1.0,16.0,11.4,384
314.37,155.61,17.0,24.0,19.5,384
144.22,401.86,9.0,22.0,15.0,384
402.58,467.28,18.0,28.0,22.3,384
507.0,62.0,1.0,19.0,18.9,385
325.02,153.27,18.0,24.0,19.7,385
399.42,465.73,20.0,30.0,20.9,385
503.0,65.0,1.0,16.0,13.1,386
335.75,150.57,19.0,27.0,23.3,386
133.76,418.6,8.0,26.0,20.6,386
394.81,465.85,18.0,24.0,21.8,386
