x,y,area,max_scoreImg,max_innerToRing,nr
377.0,173.0,1.0,14.0,12.7,13
348.0,127.0,1.0,14.0,12.9,17
328.0,95.0,1.0,15.0,12.1,20
322.0,86.0,1.0,19.0,14.9,21
310.0,67.0,1.0,18.0,16.3,23
302.0,58.0,1.0,14.0,11.9,24
279.0,31.0,1.0,17.0,11.2,27
273.0,23.0,1.0,15.0,13.9,28
588.0,32.0,1.0,16.0,14.8,28
570.0,32.0,1.0,15.0,12.7,29
552.0,31.0,1.0,21.0,17.3,30
257.0,0.0,1.0,17.0,14.1,31
534.0,30.0,1.0,18.0,13.5,31
516.0,29.0,1.0,18.0,17.7,32
480.52,28.0,2.0,17.0,14.1,34
446.0,29.0,1.0,15.0,9.7,36
225.0,449.48,2.0,16.0,11.2,36
430.47,30.0,2.0,16.0,16.3,37
414.0,31.0,1.0,16.0,15.7,38
384.0,34.0,1.0,14.0,12.3,40
319.0,46.0,1.0,22.0,18.3,45
105.39,0.54,4.0,33.0,30.8,46
308.0,49.0,1.0,14.0,12.8,46
102.14,12.9,6.0,36.0,36.8,47
297.0,52.0,1.0,15.0,11.8,47
425.91,11.55,4.0,22.0,16.5,48
95.6,24.23,5.0,31.0,27.6,48
403.06,25.46,4.0,20.0,14.0,49
88.04,35.77,5.0,30.0,27.0,49
276.0,57.0,1.0,16.0,13.2,49
381.48,38.52,2.0,21.0,14.2,50
80.99,46.23,5.0,34.0,32.0,50
362.29,51.39,3.0,20.0,15.2,51
74.98,55.79,5.0,39.0,37.3,51
256.0,62.0,1.0,14.0,10.2,51
343.59,64.69,3.0,25.0,19.8,52
246.0,65.0,1.0,14.0,12.9,52
71.18,67.16,4.0,32.0,26.6,52
326.62,78.01,4.0,25.0,22.7,53
69.41,83.74,5.0,20.0,14.5,53
310.65,91.0,2.0,28.0,19.8,54
70.39,105.69,3.0,21.0,16.0,54
297.51,103.09,4.0,25.0,14.3,55
70.0,125.57,4.0,28.0,24.9,55
283.94,115.54,4.0,19.0,16.1,56
63.8,144.19,5.0,26.0,19.7,56
271.5,127.5,2.0,16.0,15.1,57
50.52,166.02,4.0,18.0,15.3,57
260.0,141.0,1.0,17.0,14.3,58
251.0,153.0,1.0,21.0,20.2,59
241.65,165.65,3.0,21.0,19.8,60
232.38,177.62,2.0,23.0,20.8,61
40.0,282.52,2.0,17.0,12.8,61
222.29,190.44,3.0,23.0,19.9,62
40.0,311.06,5.0,19.0,14.8,62
36.0,345.53,2.0,16.0,11.8,63
36.0,374.52,2.0,15.0,11.1,64
33.0,401.44,2.0,20.0,14.9,65
134.0,263.0,1.0,23.0,22.4,71
126.0,272.0,1.0,21.0,16.7,72
117.36,279.33,3.0,16.0,14.7,73
88.0,301.0,1.0,24.0,18.2,76
77.0,306.0,1.0,16.0,13.5,77
57.0,315.0,1.0,16.0,16.3,79
503.03,459.01,7.0,24.0,17.8,124
490.23,431.24,5.0,26.0,20.5,125
476.54,401.43,7.0,25.0,21.9,126
461.55,369.99,4.0,23.0,17.2,127
425.0,273.5,2.0,17.0,12.0,130
