nr,datetime
0,2023-09-27 17:10:31.364919000
1,2023-09-27 17:10:31.431585800
2,2023-09-27 17:10:31.498252600
3,2023-09-27 17:10:31.564919400
4,2023-09-27 17:10:31.631586200
5,2023-09-27 17:10:31.698253000
6,2023-09-27 17:10:31.764919800
7,2023-09-27 17:10:31.831586600
8,2023-09-27 17:10:31.898253400
9,2023-09-27 17:10:31.964920200
10,2023-09-27 17:10:32.031587000
11,2023-09-27 17:10:32.098253800
12,2023-09-27 17:10:32.164920600
13,2023-09-27 17:10:32.231587400
14,2023-09-27 17:10:32.298254200
15,2023-09-27 17:10:32.364921000
16,2023-09-27 17:10:32.431587800
17,2023-09-27 17:10:32.498254600
18,2023-09-27 17:10:32.564921400
19,2023-09-27 17:10:32.631588200
20,2023-09-27 17:10:32.698255000
21,2023-09-27 17:10:32.764921800
22,2023-09-27 17:10:32.831588600
23,2023-09-27 17:10:32.898255400
24,2023-09-27 17:10:32.964922200
25,2023-09-27 17:10:33.031589000
26,2023-09-27 17:10:33.098255800
27,2023-09-27 17:10:33.164922600
28,2023-09-27 17:10:33.231589400
29,2023-09-27 17:10:33.298256200
30,2023-09-27 17:10:33.364923000
31,2023-09-27 17:10:33.431589800
32,2023-09-27 17:10:33.498256600
33,2023-09-27 17:10:33.564923400
34,2023-09-27 17:10:33.631590200
35,2023-09-27 17:10:33.698257000
36,2023-09-27 17:10:33.764923800
37,2023-09-27 17:10:33.831590600
38,2023-09-27 17:10:33.898257400
39,2023-09-27 17:10:33.964924200
40,2023-09-27 17:10:34.031591000
41,2023-09-27 17:10:34.098257800
42,2023-09-27 17:10:34.164924600
43,2023-09-27 17:10:34.231591400
44,2023-09-27 17:10:34.298258200
45,2023-09-27 17:10:34.364925000
46,2023-09-27 17:10:34.431591800
47,2023-09-27 17:10:34.498258600
48,2023-09-27 17:10:34.564925400
49,2023-09-27 17:10:34.631592200
50,2023-09-27 17:10:34.698259000
51,2023-09-27 17:10:34.764925800
52,2023-09-27 17:10:34.831592600
53,2023-09-27 17:10:34.898259400
54,2023-09-27 17:10:34.964926200
55,2023-09-27 17:10:35.031593000
56,2023-09-27 17:10:35.098259800
57,2023-09-27 17:10:35.164926600
58,2023-09-27 17:10:35.231593400
59,2023-09-27 17:10:35.298260200
60,2023-09-27 17:10:35.364927000
61,2023-09-27 17:10:35.431593800
62,2023-09-27 17:10:35.498260600
63,2023-09-27 17:10:35.564927400
64,2023-09-27 17:10:35.631594200
65,2023-09-27 17:10:35.698261000
66,2023-09-27 17:10:35.764927800
67,2023-09-27 17:10:35.831594600
68,2023-09-27 17:10:35.898261400
69,2023-09-27 17:10:35.964928200
70,2023-09-27 17:10:36.031595000
71,2023-09-27 17:10:36.098261800
72,2023-09-27 17:10:36.164928600
73,2023-09-27 17:10:36.231595400
74,2023-09-27 17:10:36.298262200
75,2023-09-27 17:10:36.364929000
76,2023-09-27 17:10:36.431595800
77,2023-09-27 17:10:36.498262600
78,2023-09-27 17:10:36.564929400
79,2023-09-27 17:10:36.631596200
80,2023-09-27 17:10:36.698263000
81,2023-09-27 17:10:36.764929800
82,2023-09-27 17:10:36.831596600
83,2023-09-27 17:10:36.898263400
84,2023-09-27 17:10:36.964930200
85,2023-09-27 17:10:37.031597000
86,2023-09-27 17:10:37.098263800
87,2023-09-27 17:10:37.164930600
88,2023-09-27 17:10:37.231597400
89,2023-09-27 17:10:37.298264200
90,2023-09-27 17:10:37.364931000
91,2023-09-27 17:10:37.431597800
92,2023-09-27 17:10:37.498264600
93,2023-09-27 17:10:37.564931400
94,2023-09-27 17:10:37.631598200
95,2023-09-27 17:10:37.698265000
96,2023-09-27 17:10:37.764931800
97,2023-09-27 17:10:37.831598600
98,2023-09-27 17:10:37.898265400
