nr,datetime,x1,y1,x2,y2
580,2022-06-22 22:26:07.841472,362.2,300.59,370.25,394.64
772,2022-06-22 22:26:27.041510400,292.0,63.77,303.54,130.95
1191,2022-06-22 22:27:08.941594200,117.8,25.89,124.72,95.65
1603,2022-06-22 22:27:50.141676600,300.7,345.67,307.43,342.94
1883,2022-06-22 22:28:18.141732600,193.39,242.0,201.0,242.0
2298,2022-06-22 22:28:59.641815600,178.0,376.05,184.81,350.54
2727,2022-06-22 22:29:42.541901400,260.12,349.65,266.8,339.58
