,nr,datetime,x1,y1,x2,y2,lat,lon,height
1,290,2022-06-22 22:25:38.841414000,542.94,99.4,554.4,389.98,49.42238702069552,11.447948231933468,31.9
2,291,2022-06-22 22:25:38.941414200,530.48,100.79,542.11,386.91,49.42239255489457,11.447951344816987,31.9
3,292,2022-06-22 22:25:39.041414400,518.53,102.1,530.39,383.87,49.42239750955356,11.447953787973184,31.9
4,293,2022-06-22 22:25:39.141414600,506.97,103.25,519.11,380.92,49.422402278890615,11.447956153734628,32.0
5,294,2022-06-22 22:25:39.241414800,495.83,104.26,508.01,377.93,49.42240699119367,11.44795844212766,32.0
6,295,2022-06-22 22:25:39.341415000,484.86,105.18,497.2,374.97,49.42241147332199,11.447960590921737,32.0
7,296,2022-06-22 22:25:39.441415200,474.51,105.98,487.12,372.1,49.42241602797206,11.447962741427798,32.0
8,297,2022-06-22 22:25:39.541415400,464.98,106.78,477.76,369.52,49.42242036490271,11.44796458440264,32.0
9,298,2022-06-22 22:25:39.641415600,456.16,107.58,469.11,367.26,49.42242444964339,11.447966568339442,32.1
10,299,2022-06-22 22:25:39.741415800,447.98,108.44,461.06,365.24,49.42242792806595,11.44796846215357,32.0
11,300,2022-06-22 22:25:39.841416000,440.31,109.38,453.47,363.36,49.422431442895,11.44797034902101,32.0
12,301,2022-06-22 22:25:39.941416200,433.18,110.28,446.44,361.86,49.42243435932114,11.447971883160902,32.1
13,302,2022-06-22 22:25:40.041416400,426.57,111.21,439.88,360.47,49.42243736372252,11.44797365992156,32.1
14,303,2022-06-22 22:25:40.141416600,420.4,112.11,433.76,359.28,49.42244006051038,11.447974989282072,32.1
15,304,2022-06-22 22:25:40.241416800,414.68,112.99,428.1,358.26,49.42244261441345,11.44797661009435,32.1
16,305,2022-06-22 22:25:40.341417000,409.36,113.87,422.86,357.41,49.42244501035515,11.447977671226804,32.1
17,306,2022-06-22 22:25:40.441417200,404.57,114.78,418.15,356.73,49.42244714012678,11.447979116528009,32.1
18,307,2022-06-22 22:25:40.541417400,400.16,115.63,413.85,356.15,49.42244925038454,11.447980153146204,32.1
19,308,2022-06-22 22:25:40.641417600,396.23,116.47,409.96,355.69,49.42245098621215,11.44798140826597,32.0
20,309,2022-06-22 22:25:40.741417800,392.72,117.31,406.51,355.36,49.42245275681868,11.447982134396488,32.0
21,310,2022-06-22 22:25:40.841418000,389.63,118.08,403.43,355.06,49.422454126474015,11.447983177368776,32.0
22,332,2022-06-22 22:25:43.041422400,332.33,122.08,345.77,336.77,49.42248485222298,11.447995247460089,31.8
23,333,2022-06-22 22:25:43.141422600,327.01,121.81,340.24,334.63,49.42248782669393,11.447996644121272,31.8
24,334,2022-06-22 22:25:43.241422800,321.36,121.74,334.45,332.41,49.42249119397815,11.447997733810928,31.8
25,335,2022-06-22 22:25:43.341423000,315.5,121.76,328.5,330.15,49.42249458511077,11.447999178315422,31.8
26,336,2022-06-22 22:25:43.441423200,309.49,121.8,322.45,327.7,49.42249827801473,11.448000407478924,31.8
27,337,2022-06-22 22:25:43.541423400,303.32,121.78,316.27,325.22,49.42250234248769,11.448002089566996,31.8
28,338,2022-06-22 22:25:43.641423600,297.04,121.76,309.85,322.65,49.422506359846366,11.448003433025043,31.8
29,339,2022-06-22 22:25:43.741423800,290.63,121.71,303.37,320.01,49.42250991349759,11.448005045277425,31.9
30,340,2022-06-22 22:25:43.841424000,284.03,121.64,296.72,317.29,49.42251416906613,11.448006488557184,31.9
31,341,2022-06-22 22:25:43.941424200,277.31,121.55,289.93,314.5,49.42251846784277,11.448008082056774,31.9
32,342,2022-06-22 22:25:44.041424400,270.52,121.45,283.01,311.64,49.42252299640008,11.4480096080516,31.9
33,343,2022-06-22 22:25:44.141424600,263.6,121.27,276.02,308.72,49.42252716452449,11.44801110984164,31.9
34,344,2022-06-22 22:25:44.241424800,256.63,121.14,268.96,305.81,49.42253189846585,11.44801269754683,31.9
35,345,2022-06-22 22:25:44.341425000,249.69,120.98,261.91,302.82,49.42253674277461,11.448014421960355,31.9
36,346,2022-06-22 22:25:44.441425200,242.66,120.82,254.83,299.83,49.422541694298346,11.448016079804129,31.9
37,347,2022-06-22 22:25:44.541425400,235.69,120.67,247.74,296.85,49.4225465643058,11.448017688553527,31.8
38,348,2022-06-22 22:25:44.641425600,228.75,120.49,240.7,293.81,49.422551699969326,11.448019414876574,31.9
39,349,2022-06-22 22:25:44.741425800,221.74,120.29,233.57,290.76,49.42255621554023,11.448021093382655,31.9
40,350,2022-06-22 22:25:44.841426000,214.77,120.09,226.56,287.67,49.42256146410675,11.448022855354427,31.8
41,351,2022-06-22 22:25:44.941426200,208.0,119.88,219.65,284.66,49.42256693981554,11.448024749741414,31.9
42,352,2022-06-22 22:25:45.041426400,201.73,119.73,213.38,281.89,49.422572209317934,11.448026505694909,31.8
43,353,2022-06-22 22:25:45.141426600,195.99,119.73,207.53,279.48,49.422576690795225,11.448027918633075,31.8
44,354,2022-06-22 22:25:45.241426800,190.63,119.84,202.13,277.35,49.42258136412192,11.448029626993476,31.8
45,355,2022-06-22 22:25:45.341427000,185.64,120.02,197.06,275.43,49.42258521162929,11.448031384435083,31.8
46,356,2022-06-22 22:25:45.441427200,181.0,120.33,192.35,273.87,49.42258927504003,11.4480330780066,31.9
47,357,2022-06-22 22:25:45.541427400,176.56,120.7,187.91,272.3,49.422592985658966,11.448034425402186,31.9
48,358,2022-06-22 22:25:45.641427600,172.49,121.06,183.69,271.05,49.42259653194324,11.448036043501627,31.9
49,359,2022-06-22 22:25:45.741427800,168.63,121.55,179.81,269.96,49.4225994022145,11.448037145478027,31.9
50,360,2022-06-22 22:25:45.841428000,165.07,122.08,176.23,269.05,49.422602435278485,11.448038657263398,31.9
51,361,2022-06-22 22:25:45.941428200,161.73,122.68,172.81,268.36,49.42260522982424,11.448039986828038,31.9
52,362,2022-06-22 22:25:46.041428400,158.7,123.32,169.77,267.81,49.42260780058566,11.44804143509887,31.9
53,363,2022-06-22 22:25:46.141428600,155.91,124.01,167.08,267.33,49.42260989328263,11.448042707549163,31.9
54,364,2022-06-22 22:25:46.241428800,153.44,124.8,164.53,267.1,49.42261199776674,11.448044074079444,31.9
56,365,2022-06-22 22:25:46.341429000,151.18,125.52,162.25,266.91,49.42261384200863,11.448045247945911,31.9
57,366,2022-06-22 22:25:46.441429200,149.18,126.25,160.25,266.81,49.42261553524492,11.44804650617358,31.9
58,367,2022-06-22 22:25:46.541429400,147.34,127.04,158.41,266.81,49.42261714926068,11.44804763803065,31.9
59,368,2022-06-22 22:25:46.641429600,145.73,127.73,156.77,266.84,49.42261848504512,11.448048774114993,31.9
60,369,2022-06-22 22:25:46.741429800,144.31,128.5,155.32,266.94,49.422619919307,11.448049757622242,31.9
61,370,2022-06-22 22:25:46.841430000,143.05,129.19,154.06,267.05,49.42262093762675,11.448050749913271,31.9
62,371,2022-06-22 22:25:46.941430200,142.0,129.84,153.01,267.23,49.4226221612963,11.44805156821426,31.9
63,372,2022-06-22 22:25:47.041430400,141.12,130.47,152.12,267.51,49.42262289083116,11.448052395167345,31.9
64,373,2022-06-22 22:25:47.141430600,140.38,131.03,151.44,267.72,49.42262354936904,11.448052842560866,31.9
65,374,2022-06-22 22:25:47.241430800,139.8,131.52,150.83,267.91,49.42262399347694,11.448053440292735,31.9
66,375,2022-06-22 22:25:47.341431000,139.33,131.83,150.39,268.11,49.42262439180687,11.448053929353264,31.9
67,376,2022-06-22 22:25:47.441431200,139.02,132.18,150.04,268.18,49.42262457591239,11.448054281205025,31.9
68,377,2022-06-22 22:25:47.541431400,138.78,132.43,149.83,268.28,49.42262488820306,11.44805453282683,31.9
69,378,2022-06-22 22:25:47.641431600,138.6,132.64,149.63,268.44,49.42262489944196,11.44805469397699,31.9
70,379,2022-06-22 22:25:47.741431800,138.47,132.87,149.48,268.49,49.42262505390831,11.448054571267386,31.9
71,380,2022-06-22 22:25:47.841432000,138.36,132.99,149.31,268.73,49.42262500189414,11.448054630962874,31.9
72,381,2022-06-22 22:25:47.941432200,138.26,133.15,149.18,268.8,49.42262532309368,11.448054884507387,31.9
73,382,2022-06-22 22:25:48.041432400,138.22,133.46,149.17,268.91,49.42262526731036,11.448054911780572,31.9
74,383,2022-06-22 22:25:48.141432600,138.29,133.63,149.33,269.22,49.4226253487924,11.44805507094221,31.9
75,384,2022-06-22 22:25:48.241432800,138.39,133.8,149.38,269.48,49.422625283689,11.448055077618935,31.9
76,385,2022-06-22 22:25:48.341433000,138.54,134.05,149.43,269.82,49.42262545460253,11.44805521297086,31.9
77,386,2022-06-22 22:25:48.441433200,138.7,134.34,149.54,269.64,49.42262540296526,11.44805522832602,31.9
78,387,2022-06-22 22:25:48.541433400,138.67,134.5,150.14,270.36,49.42262546436803,11.448055465435516,31.9
79,388,2022-06-22 22:25:48.641433600,138.79,134.47,150.11,270.32,49.422625429280735,11.448055516926669,31.9
80,389,2022-06-22 22:25:48.741433800,138.8,134.55,150.11,270.32,49.422625509563495,11.448055630391565,31.9
