x,y,area,max_scoreImg,max_innerToRing,nr
587.31,221.85,22.0,36.0,10.8,176
585.54,224.65,31.0,34.0,14.8,182
574.51,238.0,2.0,18.0,17.4,194
573.17,239.04,9.0,23.0,12.5,195
571.84,239.24,26.0,29.0,11.7,196
636.27,87.35,47.0,247.0,244.7,283
623.13,89.26,57.0,249.0,245.5,284
609.74,91.11,53.0,249.0,245.9,285
596.22,92.98,55.0,254.0,249.3,286
582.73,94.68,52.0,247.0,244.3,287
569.2,96.32,54.0,239.0,236.3,288
555.9,97.93,49.0,240.0,237.6,289
542.94,99.4,46.0,216.0,214.9,290
530.48,100.79,43.0,236.0,234.2,291
518.53,102.1,45.0,237.0,236.2,292
506.97,103.25,42.0,228.0,225.2,293
495.83,104.26,44.0,233.0,231.8,294
484.86,105.18,40.0,219.0,217.8,295
474.51,105.98,37.0,221.0,218.5,296
464.98,106.78,34.0,210.0,207.9,297
456.16,107.58,33.0,202.0,200.3,298
447.98,108.44,33.0,195.0,195.4,299
440.31,109.38,32.0,219.0,218.7,300
433.18,110.28,31.0,223.0,222.6,301
426.57,111.21,31.0,235.0,232.9,302
420.4,112.11,30.0,238.0,236.3,303
414.68,112.99,31.0,240.0,237.5,304
409.36,113.87,26.0,241.0,238.9,305
404.57,114.78,30.0,241.0,237.9,306
400.16,115.63,27.0,226.0,222.2,307
396.23,116.47,26.0,220.0,215.6,308
392.72,117.31,26.0,227.0,223.5,309
389.63,118.08,25.0,247.0,243.9,310
342.71,121.51,7.0,111.0,109.1,330
337.66,121.6,6.0,117.0,92.5,331
332.33,122.08,16.0,215.0,122.4,332
327.01,121.81,26.0,233.0,225.0,333
321.36,121.74,33.0,243.0,239.9,334
315.5,121.76,32.0,243.0,241.2,335
309.49,121.8,30.0,238.0,236.4,336
303.32,121.78,32.0,236.0,235.3,337
297.04,121.76,30.0,222.0,220.6,338
290.63,121.71,28.0,220.0,218.1,339
284.03,121.64,28.0,205.0,204.5,340
277.31,121.55,31.0,198.0,196.0,341
270.52,121.45,28.0,203.0,200.2,342
263.6,121.27,25.0,213.0,211.9,343
256.63,121.14,24.0,214.0,212.3,344
249.69,120.98,25.0,212.0,210.9,345
242.66,120.82,24.0,204.0,202.1,346
235.69,120.67,24.0,189.0,187.1,347
228.75,120.49,25.0,170.0,168.5,348
221.74,120.29,24.0,182.0,181.1,349
214.77,120.09,24.0,182.0,179.2,350
208.0,119.88,19.0,152.0,150.2,351
201.73,119.73,18.0,144.0,142.8,352
195.99,119.73,15.0,141.0,138.7,353
190.63,119.84,18.0,155.0,153.6,354
185.64,120.02,17.0,155.0,154.6,355
181.0,120.33,16.0,142.0,140.6,356
176.56,120.7,17.0,150.0,149.6,357
172.49,121.06,18.0,161.0,160.1,358
168.63,121.55,16.0,138.0,135.4,359
165.07,122.08,16.0,153.0,151.8,360
161.73,122.68,14.0,141.0,138.8,361
158.7,123.32,16.0,136.0,134.8,362
155.91,124.01,15.0,145.0,145.1,363
153.44,124.8,16.0,156.0,154.7,364
151.18,125.52,15.0,138.0,135.7,365
587.37,222.17,23.0,34.0,10.0,365
149.18,126.25,16.0,153.0,150.7,366
147.34,127.04,15.0,162.0,159.3,367
145.73,127.73,14.0,137.0,136.0,368
144.31,128.5,16.0,138.0,138.5,369
143.05,129.19,14.0,150.0,149.5,370
586.13,224.7,36.0,35.0,14.3,370
142.0,129.84,14.0,149.0,148.7,371
141.12,130.47,14.0,136.0,135.8,372
140.38,131.03,15.0,164.0,162.2,373
139.8,131.52,12.0,125.0,123.8,374
139.33,131.83,13.0,161.0,160.4,375
139.02,132.18,12.0,158.0,159.8,376
138.78,132.43,12.0,132.0,147.7,377
138.6,132.64,10.0,114.0,132.8,378
138.47,132.87,9.0,125.0,131.2,379
138.36,132.99,10.0,130.0,147.2,380
138.26,133.15,8.0,124.0,157.6,381
138.22,133.46,9.0,111.0,158.5,382
138.29,133.63,7.0,89.0,158.6,383
574.54,238.0,2.0,20.0,18.2,383
138.39,133.8,6.0,63.0,157.3,384
573.12,238.91,10.0,23.0,17.6,384
138.54,134.05,7.0,46.0,151.1,385
138.7,134.34,6.0,43.0,130.8,386
138.67,134.5,5.0,45.0,99.9,387
138.79,134.47,6.0,49.0,122.0,388
138.8,134.55,7.0,54.0,133.9,389
138.81,134.74,9.0,52.0,139.3,390
138.78,134.86,9.0,50.0,143.8,391
138.71,135.08,8.0,57.0,136.6,392
138.77,135.36,7.0,64.0,124.3,393
138.64,135.54,6.0,80.0,123.3,394
138.65,135.72,8.0,86.0,146.2,395
138.63,135.85,8.0,80.0,150.3,396
138.53,136.03,7.0,87.0,144.0,397
138.42,136.28,7.0,100.0,126.3,398
138.43,136.49,7.0,107.0,147.7,399
138.39,136.53,7.0,105.0,161.6,400
138.22,136.67,8.0,93.0,167.8,401
138.18,136.79,8.0,75.0,168.5,402
138.12,137.01,7.0,76.0,155.6,403
138.04,137.22,8.0,77.0,144.8,404
138.02,137.43,8.0,80.0,140.1,405
137.91,137.44,8.0,75.0,149.8,406
137.76,137.56,8.0,72.0,153.7,407
137.61,137.67,9.0,86.0,150.3,408
137.44,137.75,8.0,96.0,143.7,409
137.35,137.91,7.0,94.0,137.1,410
137.1,137.95,7.0,105.0,133.0,411
137.01,138.04,8.0,114.0,144.1,412
136.85,138.03,8.0,108.0,154.5,413
136.59,138.03,7.0,90.0,152.8,414
136.44,137.98,7.0,79.0,144.2,415
136.34,137.53,8.0,89.0,146.9,416
136.09,137.28,7.0,98.0,125.3,417
135.99,137.35,8.0,103.0,142.5,418
135.8,137.54,6.0,102.0,154.2,419
135.69,137.47,7.0,85.0,153.4,420
135.52,137.56,8.0,68.0,142.3,421
135.41,137.64,8.0,82.0,145.7,422
