x,y,area,max_scoreImg,max_innerToRing,nr
559.0,241.0,1.0,14.0,11.7,143
591.89,180.03,17.0,28.0,10.5,176
559.0,241.0,1.0,14.0,13.1,186
633.49,407.66,58.0,231.0,227.6,284
620.21,404.92,56.0,238.0,230.2,285
606.87,402.13,56.0,229.0,223.0,286
593.51,399.15,58.0,232.0,228.1,287
580.18,396.16,54.0,228.0,220.4,288
567.08,393.05,51.0,222.0,215.6,289
554.4,389.98,52.0,227.0,220.7,290
255.24,114.41,5.0,18.0,11.5,291
542.11,386.91,49.0,222.0,213.8,291
210.59,126.22,5.0,16.0,11.2,292
530.39,383.87,51.0,243.0,229.0,292
175.6,136.65,8.0,25.0,20.8,293
519.11,380.92,51.0,236.0,223.2,293
141.94,143.75,4.0,19.0,11.9,294
508.01,377.93,48.0,225.0,217.3,294
113.67,147.35,7.0,22.0,12.4,295
497.2,374.97,43.0,214.0,204.1,295
84.47,151.52,6.0,21.0,19.2,296
487.12,372.1,40.0,207.0,200.2,296
336.5,9.0,2.0,23.0,16.0,297
55.9,158.0,3.0,22.0,18.7,297
477.76,369.52,42.0,207.0,201.2,297
361.44,16.71,3.0,23.0,19.1,298
27.0,168.0,1.0,18.0,14.6,298
469.11,367.26,39.0,207.0,202.6,298
387.53,27.53,2.0,19.0,15.8,299
461.06,365.24,37.0,205.0,199.5,299
414.37,34.71,3.0,19.0,17.4,300
453.47,363.36,36.0,206.0,204.3,300
441.06,40.57,4.0,20.0,12.4,301
446.44,361.86,36.0,222.0,219.8,301
439.88,360.47,35.0,203.0,198.9,302
498.42,63.0,2.0,21.0,11.8,303
433.76,359.28,34.0,201.0,200.1,303
526.48,73.0,2.0,21.0,12.4,304
428.1,358.26,32.0,211.0,206.8,304
422.86,357.41,34.0,208.0,198.3,305
418.15,356.73,32.0,229.0,226.0,306
413.85,356.15,30.0,212.0,204.3,307
636.06,125.36,3.0,17.0,12.1,308
409.96,355.69,29.0,225.0,220.2,308
406.51,355.36,32.0,215.0,209.7,309
403.43,355.06,31.0,233.0,228.5,310
400.83,354.88,31.0,213.0,211.1,311
398.51,354.75,31.0,237.0,233.4,312
396.6,354.6,32.0,225.0,222.5,313
395.02,354.45,30.0,227.0,224.8,314
559.0,241.0,1.0,14.0,13.5,315
393.78,354.43,29.0,207.0,207.0,315
392.84,354.29,29.0,203.0,202.7,316
392.09,354.13,29.0,239.0,237.5,317
391.42,353.84,28.0,246.0,245.8,318
390.59,353.4,30.0,238.0,245.6,319
389.45,352.92,31.0,242.0,242.1,320
388.01,352.37,29.0,242.0,242.0,321
386.02,351.66,32.0,255.0,255.9,322
383.59,350.73,35.0,251.0,248.7,323
380.71,349.73,35.0,243.0,240.6,324
377.5,348.56,35.0,246.0,241.7,325
373.88,347.24,37.0,224.0,221.1,326
369.9,345.84,35.0,249.0,244.7,327
365.62,344.27,35.0,222.0,216.4,328
