x,y,area,max_scoreImg,max_innerToRing,nr
635.0,136.0,1.0,17.0,15.6,10
637.0,126.0,1.0,19.0,16.0,12
638.0,121.0,1.0,15.0,10.6,13
559.0,241.0,1.0,15.0,11.9,18
559.0,241.0,1.0,16.0,14.4,29
559.0,241.0,1.0,15.0,10.3,49
559.0,241.0,1.0,15.0,11.0,50
559.0,241.0,1.0,16.0,12.0,51
267.0,466.0,1.0,18.0,15.3,98
270.0,452.0,1.0,17.0,15.3,103
273.0,436.0,1.0,18.0,14.2,110
559.0,241.0,1.0,17.0,14.3,131
286.0,381.0,1.0,16.0,12.3,134
290.0,365.0,1.0,15.0,13.5,143
559.0,241.0,1.0,15.0,12.8,170
559.0,241.0,1.0,15.0,14.4,199
506.0,229.0,1.0,15.0,11.2,203
559.0,241.0,1.0,16.0,12.3,220
559.0,241.0,1.0,15.0,13.0,236
559.0,241.0,1.0,17.0,12.8,238
559.0,241.0,1.0,15.0,14.0,290
559.0,241.0,1.0,16.0,14.5,304
559.0,241.0,1.0,16.0,14.5,346
559.0,241.0,1.0,15.0,16.4,385
559.0,241.0,1.0,16.0,17.5,434
559.0,241.0,1.0,16.0,14.8,457
559.0,241.0,1.0,15.0,14.3,534
635.89,431.06,25.0,20.0,11.0,575
517.39,416.18,32.0,23.0,14.1,578
559.0,241.0,1.0,15.0,13.8,580
559.0,241.0,1.0,15.0,15.9,586
506.0,409.0,1.0,17.0,11.9,620
559.0,241.0,1.0,16.0,14.5,627
559.0,241.0,1.0,15.0,14.0,640
559.0,241.0,1.0,15.0,13.9,653
559.0,241.0,1.0,15.0,11.4,730
559.0,241.0,1.0,17.0,15.9,740
559.0,241.0,1.0,15.0,16.8,743
559.0,241.0,1.0,16.0,15.7,806
559.0,241.0,1.0,15.0,12.7,827
272.0,228.0,1.0,15.0,14.3,881
559.0,241.0,1.0,15.0,13.0,883
291.0,195.0,1.0,17.0,17.2,889
313.0,153.0,1.0,17.0,17.5,898
325.0,128.0,1.0,16.0,10.7,903
559.0,241.0,1.0,15.0,12.9,919
372.0,31.0,1.0,17.0,15.0,922
559.0,241.0,1.0,16.0,11.2,956
559.0,241.0,1.0,17.0,11.7,957
559.0,241.0,1.0,16.0,12.7,1018
559.0,241.0,1.0,15.0,10.7,1045
559.0,241.0,1.0,15.0,13.0,1089
508.0,445.0,1.0,15.0,15.1,1144
559.0,241.0,1.0,15.0,12.5,1147
559.0,241.0,1.0,16.0,16.0,1194
559.0,241.0,1.0,15.0,12.4,1254
559.0,241.0,1.0,18.0,12.5,1266
559.0,241.0,1.0,18.0,16.8,1292
559.0,241.0,1.0,16.0,11.2,1310
559.0,241.0,1.0,18.0,15.0,1320
559.0,241.0,1.0,15.0,13.5,1333
559.0,241.0,1.0,15.0,13.3,1347
559.0,241.0,1.0,15.0,15.0,1367
559.0,241.0,1.0,15.0,15.0,1418
559.0,241.0,1.0,18.0,16.5,1420
559.0,241.0,1.0,15.0,14.7,1450
559.0,241.0,1.0,18.0,15.6,1451
602.0,216.0,1.0,15.0,10.1,1481
559.0,241.0,1.0,17.0,15.2,1482
580.0,106.0,1.0,16.0,14.6,1494
204.0,428.0,1.0,15.0,10.9,1519
559.0,241.0,1.0,16.0,12.1,1521
202.0,471.0,1.0,15.0,13.2,1526
559.0,241.0,1.0,15.0,14.5,1582
559.0,241.0,1.0,17.0,16.1,1619
559.0,241.0,1.0,16.0,14.9,1690
559.0,241.0,1.0,15.0,14.7,1692
559.0,241.0,1.0,16.0,15.7,1719
559.0,241.0,1.0,15.0,12.1,1736
559.0,241.0,1.0,16.0,14.5,1742
559.0,241.0,1.0,15.0,16.2,1746
559.0,241.0,1.0,18.0,15.5,1764
559.0,241.0,1.0,15.0,13.0,1775
559.0,241.0,1.0,15.0,14.3,1867
