nr,datetime
0,2021-08-10 20:37:49.777232000
1,2021-08-10 20:37:49.810565400
2,2021-08-10 20:37:49.843898800
3,2021-08-10 20:37:49.877232200
4,2021-08-10 20:37:49.910565600
5,2021-08-10 20:37:49.943899000
6,2021-08-10 20:37:49.977232400
7,2021-08-10 20:37:50.010565800
8,2021-08-10 20:37:50.043899200
9,2021-08-10 20:37:50.077232600
10,2021-08-10 20:37:50.110566000
11,2021-08-10 20:37:50.143899400
12,2021-08-10 20:37:50.177232800
13,2021-08-10 20:37:50.210566200
14,2021-08-10 20:37:50.243899600
15,2021-08-10 20:37:50.277233000
16,2021-08-10 20:37:50.310566400
17,2021-08-10 20:37:50.343899800
18,2021-08-10 20:37:50.377233200
19,2021-08-10 20:37:50.410566600
20,2021-08-10 20:37:50.443900000
21,2021-08-10 20:37:50.477233400
22,2021-08-10 20:37:50.510566800
23,2021-08-10 20:37:50.543900200
24,2021-08-10 20:37:50.577233600
25,2021-08-10 20:37:50.610567000
26,2021-08-10 20:37:50.643900400
27,2021-08-10 20:37:50.677233800
28,2021-08-10 20:37:50.710567200
29,2021-08-10 20:37:50.743900600
30,2021-08-10 20:37:50.777234000
31,2021-08-10 20:37:50.810567400
32,2021-08-10 20:37:50.843900800
33,2021-08-10 20:37:50.877234200
34,2021-08-10 20:37:50.910567600
35,2021-08-10 20:37:50.943901000
36,2021-08-10 20:37:50.977234400
37,2021-08-10 20:37:51.010567800
38,2021-08-10 20:37:51.043901200
39,2021-08-10 20:37:51.077234600
40,2021-08-10 20:37:51.110568000
41,2021-08-10 20:37:51.143901400
42,2021-08-10 20:37:51.177234800
43,2021-08-10 20:37:51.210568200
44,2021-08-10 20:37:51.243901600
45,2021-08-10 20:37:51.277235000
46,2021-08-10 20:37:51.310568400
47,2021-08-10 20:37:51.343901800
48,2021-08-10 20:37:51.377235200
49,2021-08-10 20:37:51.410568600
50,2021-08-10 20:37:51.443902000
51,2021-08-10 20:37:51.477235400
52,2021-08-10 20:37:51.510568800
53,2021-08-10 20:37:51.543902200
54,2021-08-10 20:37:51.577235600
55,2021-08-10 20:37:51.610569000
56,2021-08-10 20:37:51.643902400
57,2021-08-10 20:37:51.677235800
58,2021-08-10 20:37:51.710569200
59,2021-08-10 20:37:51.743902600
60,2021-08-10 20:37:51.777236000
61,2021-08-10 20:37:51.810569400
62,2021-08-10 20:37:51.843902800
63,2021-08-10 20:37:51.877236200
64,2021-08-10 20:37:51.910569600
65,2021-08-10 20:37:51.943903000
66,2021-08-10 20:37:51.977236400
67,2021-08-10 20:37:52.010569800
68,2021-08-10 20:37:52.043903200
69,2021-08-10 20:37:52.077236600
