nr,datetime,x1,y1,x2,y2
1879,2023-09-27 18:37:56.567785200,156.51,366.0,81.74,390.0
2375,2023-09-27 18:38:29.634518,413.1,66.41,367.73,102.55
3518,2023-09-27 18:39:45.834670400,554.04,307.87,436.23,331.88
4606,2023-09-27 18:40:58.368148800,621.56,46.34,543.73,84.47
5218,2023-09-27 18:41:39.168230400,391.68,353.81,491.23,367.95
