x,y,area,max_scoreImg,max_innerToRing,nr
61.8,384.62,14.0,22.0,11.7,201
63.61,383.23,13.0,23.0,9.1,202
379.0,479.0,1.0,17.0,16.6,210
379.0,479.0,1.0,22.0,21.2,211
379.0,479.0,1.0,24.0,25.4,212
379.0,479.0,1.0,23.0,27.5,213
379.0,479.0,1.0,15.0,22.9,214
380.0,478.48,2.0,17.0,16.0,215
380.0,478.42,2.0,21.0,20.2,216
380.0,478.0,1.0,26.0,25.0,217
380.0,477.47,2.0,24.0,24.0,218
380.0,477.0,1.0,28.0,28.1,219
380.0,477.0,1.0,21.0,25.2,220
381.0,476.48,2.0,17.0,14.5,222
381.0,476.0,1.0,20.0,16.8,223
381.0,475.6,2.0,24.0,22.5,224
381.0,475.47,2.0,23.0,20.9,225
381.0,475.0,1.0,29.0,28.8,226
381.0,475.0,1.0,26.0,28.1,227
382.0,474.48,2.0,16.0,15.5,229
382.0,474.0,1.0,21.0,19.8,230
382.0,473.59,2.0,27.0,23.5,231
382.0,473.48,2.0,24.0,24.9,232
382.0,473.37,2.0,26.0,27.5,233
382.0,473.0,1.0,22.0,25.7,234
383.0,472.47,2.0,18.0,15.4,236
383.0,472.0,1.0,23.0,21.6,237
383.0,471.53,2.0,25.0,24.9,238
383.0,471.42,2.0,26.0,24.8,239
383.0,471.0,1.0,26.0,25.6,240
383.0,470.58,2.0,19.0,23.4,241
384.0,470.48,2.0,16.0,14.0,242
384.0,470.4,2.0,21.0,20.4,243
384.0,469.59,2.0,22.0,22.8,244
384.0,469.53,2.0,26.0,29.6,245
384.0,469.4,2.0,28.0,29.0,246
384.0,469.0,1.0,24.0,27.4,247
384.48,469.0,2.0,15.0,21.1,248
385.0,468.0,1.0,18.0,13.1,249
385.0,468.37,2.0,26.0,23.3,250
385.0,467.6,2.0,29.0,30.0,251
385.0,467.49,2.0,27.0,29.6,252
385.0,467.34,2.0,29.0,30.5,253
385.0,467.0,1.0,22.0,27.1,254
385.69,466.33,3.0,16.0,15.8,255
386.0,466.42,2.0,23.0,19.7,256
386.0,466.39,2.0,25.0,24.5,257
386.0,465.55,2.0,23.0,24.7,258
386.0,465.43,2.0,24.0,24.1,259
386.0,465.0,1.0,25.0,27.0,260
386.0,464.56,2.0,19.0,23.9,261
386.71,464.35,3.0,17.0,17.2,262
205.0,145.0,1.0,14.0,43.8,263
387.0,464.46,2.0,27.0,27.0,263
205.0,145.0,1.0,14.0,43.5,264
387.0,464.37,2.0,27.0,28.4,264
387.0,463.51,2.0,26.0,30.3,265
387.0,463.42,2.0,26.0,28.0,266
387.27,462.73,3.0,23.0,27.8,267
388.0,463.0,1.0,14.0,14.7,268
388.0,462.48,2.0,17.0,17.4,269
388.0,462.35,2.0,26.0,26.2,270
388.0,461.58,2.0,30.0,32.1,271
388.0,461.47,2.0,29.0,30.6,272
388.0,461.0,1.0,27.0,29.5,273
388.0,461.0,1.0,21.0,26.9,274
389.0,460.0,1.0,14.0,11.7,275
389.0,460.47,2.0,20.0,18.8,276
389.0,460.0,1.0,26.0,25.6,277
389.0,459.54,2.0,25.0,28.7,278
389.0,459.44,2.0,25.0,26.0,279
389.0,459.0,1.0,26.0,28.7,280
389.0,458.52,2.0,16.0,21.8,281
389.0,458.0,1.0,18.0,20.7,282
206.0,143.0,1.0,14.0,70.7,283
212.0,243.0,1.0,14.0,34.5,283
390.0,458.0,1.0,22.0,21.1,283
390.0,457.66,2.0,27.0,27.4,284
390.0,457.46,2.0,30.0,29.7,285
390.0,457.38,2.0,29.0,30.0,286
390.0,456.62,2.0,23.0,26.8,287
390.33,456.65,3.0,17.0,22.9,288
390.73,456.37,3.0,19.0,19.6,289
391.0,456.38,2.0,23.0,21.0,290
391.0,455.57,2.0,27.0,26.5,291
391.0,455.46,2.0,27.0,25.9,292
391.0,454.67,2.0,29.0,28.8,293
391.0,454.53,2.0,18.0,22.0,294
391.53,454.0,2.0,16.0,15.2,295
392.0,454.35,2.0,30.0,29.3,296
392.0,453.59,2.0,30.0,29.4,297
392.0,453.48,2.0,30.0,31.5,298
392.0,453.36,2.0,29.0,30.8,299
392.0,452.62,2.0,23.0,27.3,300
392.7,452.35,3.0,16.0,15.4,301
393.0,452.38,2.0,24.0,23.3,302
393.0,452.0,1.0,28.0,28.3,303
393.0,451.53,2.0,30.0,32.3,304
393.0,451.4,2.0,30.0,31.6,305
393.0,450.66,2.0,27.0,31.6,306
393.31,450.38,3.0,17.0,25.9,307
394.0,450.0,1.0,18.0,17.0,308
394.0,450.41,2.0,26.0,23.9,309
394.0,449.57,2.0,30.0,30.5,310
394.0,449.44,2.0,33.0,31.7,311
394.0,448.69,2.0,31.0,31.4,312
394.0,448.61,2.0,22.0,26.2,313
394.67,448.33,3.0,16.0,17.4,314
395.0,448.39,2.0,23.0,19.0,315
395.0,447.89,3.0,31.0,28.9,316
395.0,447.5,2.0,27.0,29.3,317
395.0,447.38,2.0,31.0,30.4,318
395.0,446.65,2.0,28.0,31.5,319
395.3,446.67,3.0,17.0,24.9,320
395.74,446.36,3.0,20.0,18.7,321
396.0,446.0,1.0,28.0,26.1,322
396.0,445.55,2.0,31.0,30.5,323
396.0,445.45,2.0,27.0,27.7,324
396.0,445.0,1.0,28.0,30.2,325
396.0,444.58,2.0,22.0,27.7,326
396.7,444.32,3.0,19.0,18.2,327
396.74,444.0,3.0,27.0,26.6,328
