x,y,area,max_scoreImg,max_innerToRing,nr
342.45,143.35,4.0,50.0,39.5,10
135.0,474.57,2.0,21.0,16.4,20
140.0,463.42,2.0,21.0,18.2,21
145.28,451.43,3.0,26.0,22.1,22
150.53,444.99,4.0,34.0,29.7,23
155.97,444.28,4.0,29.0,23.9,24
161.98,446.54,4.0,28.0,24.4,25
168.58,450.57,4.0,30.0,26.6,26
176.0,456.57,2.0,24.0,22.7,27
183.04,463.52,4.0,20.0,18.0,28
190.75,471.44,3.0,24.0,20.9,29
338.27,112.17,5.0,55.0,23.0,42
107.0,479.0,1.0,25.0,22.2,42
338.03,110.99,5.0,57.0,45.5,43
111.81,474.0,5.0,28.0,25.9,43
338.0,110.03,5.0,62.0,52.5,44
114.95,471.52,4.0,35.0,32.4,44
337.85,109.07,4.0,57.0,52.9,45
111.45,475.05,4.0,27.0,26.2,45
337.69,108.2,5.0,56.0,52.0,46
337.59,107.21,5.0,47.0,43.9,47
2.35,420.65,3.0,16.0,12.6,47
337.48,106.39,4.0,43.0,41.7,48
7.56,424.56,2.0,19.0,13.9,48
337.38,105.26,5.0,49.0,39.6,49
12.52,428.0,2.0,17.0,14.5,49
337.3,104.38,4.0,53.0,48.3,50
17.36,431.73,3.0,22.0,19.6,50
337.19,103.32,3.0,56.0,53.4,51
22.32,435.64,3.0,16.0,11.3,51
336.85,102.4,5.0,50.0,47.7,52
27.38,438.72,3.0,22.0,16.9,52
336.82,101.37,5.0,51.0,44.5,53
33.0,442.0,1.0,22.0,18.7,53
336.63,100.43,4.0,44.0,43.4,54
39.0,445.0,1.0,16.0,12.8,54
336.53,99.44,4.0,38.0,36.0,55
44.44,447.3,3.0,25.0,23.6,55
336.46,98.46,4.0,37.0,34.4,56
49.98,449.0,3.0,29.0,24.6,56
336.36,97.48,4.0,42.0,38.4,57
55.0,451.0,1.0,23.0,21.3,57
336.29,96.47,4.0,44.0,41.8,58
59.74,453.46,3.0,25.0,21.3,58
336.12,95.78,4.0,47.0,45.7,59
64.37,456.0,2.0,29.0,25.4,59
335.76,94.74,5.0,45.0,43.4,60
68.61,458.0,2.0,27.0,25.2,60
335.71,93.75,5.0,44.0,42.6,61
72.68,460.4,3.0,20.0,17.7,61
335.61,92.74,5.0,40.0,36.1,62
76.57,462.58,4.0,27.0,25.0,62
335.48,91.94,6.0,38.0,35.8,63
80.47,465.5,4.0,20.0,15.4,63
97.21,474.06,4.0,28.0,23.3,63
335.39,90.92,6.0,48.0,45.4,64
100.51,465.45,4.0,24.0,16.8,64
84.41,468.73,3.0,24.0,20.4,64
335.18,89.95,4.0,54.0,51.7,65
104.5,455.98,4.0,18.0,10.1,65
88.0,472.63,2.0,26.0,24.1,65
335.05,88.94,5.0,53.0,47.4,66
107.16,449.08,4.0,42.0,38.7,66
91.44,476.73,3.0,24.0,21.4,66
335.02,88.01,5.0,57.0,53.4,67
103.58,450.75,3.0,30.0,28.4,67
334.91,87.03,5.0,55.0,51.1,68
98.46,454.96,4.0,30.0,27.2,68
334.76,86.03,4.0,50.0,49.3,69
93.41,460.5,4.0,27.0,26.2,69
334.6,85.17,5.0,45.0,42.0,70
89.2,467.03,4.0,27.0,23.2,70
334.45,84.32,4.0,46.0,45.6,71
86.52,474.01,4.0,22.0,22.3,71
334.36,83.2,5.0,48.0,43.9,72
334.32,82.2,5.0,56.0,51.8,73
334.13,81.22,6.0,55.0,51.4,74
333.99,80.27,4.0,55.0,54.0,75
86.0,472.0,1.0,21.0,16.9,75
333.82,79.36,5.0,49.0,49.8,76
333.66,78.23,5.0,44.0,43.8,77
333.59,77.27,5.0,40.0,38.3,78
333.46,76.46,4.0,36.0,34.3,79
333.37,75.47,4.0,41.0,39.4,80
333.16,74.56,5.0,43.0,39.5,81
333.09,73.74,6.0,41.0,38.4,82
332.95,72.85,5.0,40.0,38.0,83
332.7,71.76,5.0,40.0,38.2,84
332.66,70.77,5.0,40.0,38.9,85
100.64,472.69,3.0,21.0,16.6,85
332.53,69.94,6.0,36.0,34.4,86
106.52,468.42,4.0,24.0,21.0,86
332.43,68.67,4.0,43.0,40.6,87
112.62,464.77,3.0,25.0,20.5,87
332.31,68.06,5.0,52.0,48.1,88
118.84,462.16,6.0,27.0,20.9,88
332.29,67.08,5.0,51.0,45.4,89
125.58,460.22,5.0,29.0,25.3,89
331.99,66.01,5.0,53.0,49.9,90
331.92,65.01,5.0,53.0,51.4,91
331.77,64.06,4.0,50.0,46.9,92
