x,y,area,max_scoreImg,max_innerToRing,nr
249.0,243.0,1.0,14.0,9.2,2070
250.0,244.0,1.0,15.0,10.3,2071
251.0,244.0,1.0,18.0,14.2,2072
252.0,244.0,1.0,17.0,11.6,2073
265.0,244.0,1.0,18.0,11.9,2086
266.0,244.0,1.0,18.0,14.4,2087
267.0,244.0,1.0,17.0,11.8,2088
271.0,243.0,1.0,23.0,15.3,2091
272.0,243.0,1.0,22.0,14.2,2092
274.0,242.0,1.0,22.0,11.7,2094
275.0,242.0,1.0,22.0,13.2,2095
276.0,242.0,1.0,22.0,16.0,2096
286.0,242.0,1.0,17.0,29.6,2103
288.0,242.0,1.0,18.0,12.1,2104
291.0,241.0,1.0,19.0,15.3,2107
292.0,241.0,1.0,17.0,15.3,2108
292.0,241.0,1.0,23.0,24.1,2109
292.0,241.0,1.0,18.0,19.9,2110
297.0,262.0,1.0,18.0,14.1,2123
297.0,263.0,1.0,18.0,14.5,2125
302.0,287.0,1.0,17.0,13.2,2141
0.91,414.45,18.0,154.0,99.7,3871
2.31,414.46,24.0,155.0,100.8,3872
4.23,414.41,24.0,159.0,103.2,3873
6.13,414.37,23.0,165.0,108.4,3874
8.12,414.29,23.0,162.0,105.7,3875
10.03,414.24,24.0,161.0,109.4,3876
12.02,414.19,23.0,158.0,109.3,3877
13.88,414.15,24.0,158.0,113.0,3878
15.83,414.11,24.0,155.0,114.0,3879
17.84,414.01,25.0,156.0,113.1,3880
19.73,413.99,26.0,154.0,112.3,3881
21.54,414.0,22.0,160.0,118.3,3882
23.39,413.9,19.0,143.0,112.8,3883
25.47,413.84,19.0,137.0,121.9,3884
27.33,413.83,20.0,141.0,119.5,3885
29.26,413.79,21.0,139.0,119.9,3886
31.19,413.72,20.0,139.0,121.8,3887
33.18,413.62,21.0,139.0,120.4,3888
35.13,413.55,22.0,139.0,120.4,3889
37.03,413.55,21.0,136.0,114.9,3890
39.01,413.43,21.0,137.0,116.3,3891
40.94,413.45,21.0,139.0,115.6,3892
42.86,413.39,22.0,137.0,117.7,3893
44.76,413.33,21.0,136.0,125.6,3894
46.67,413.27,24.0,135.0,125.9,3895
48.66,413.2,22.0,135.0,129.0,3896
50.53,413.13,23.0,137.0,132.4,3897
52.5,413.07,22.0,137.0,132.6,3898
54.4,412.99,24.0,140.0,137.1,3899
56.36,412.93,22.0,140.0,137.2,3900
58.32,412.84,21.0,139.0,135.9,3901
60.21,412.63,20.0,141.0,138.2,3902
62.16,412.54,21.0,139.0,135.5,3903
64.12,412.48,21.0,141.0,130.6,3904
66.05,412.42,21.0,143.0,127.8,3905
67.94,412.38,21.0,144.0,123.6,3906
69.75,412.27,20.0,142.0,119.7,3907
71.43,412.28,24.0,156.0,130.1,3908
72.9,412.18,19.0,159.0,133.8,3909
74.4,412.12,21.0,163.0,133.2,3910
75.89,412.11,22.0,154.0,128.5,3911
77.17,412.08,22.0,169.0,134.2,3912
78.26,412.05,22.0,175.0,141.6,3913
79.31,411.98,22.0,179.0,147.9,3914
80.24,411.94,22.0,178.0,145.2,3915
80.99,411.9,21.0,171.0,134.2,3916
81.62,411.91,19.0,173.0,143.5,3917
82.26,411.82,19.0,174.0,143.4,3918
82.7,411.79,19.0,162.0,142.9,3919
83.21,411.76,19.0,160.0,136.1,3920
