nr,datetime
0,2021-08-11 21:04:35.668814000
1,2021-08-11 21:04:35.702147400
2,2021-08-11 21:04:35.735480800
3,2021-08-11 21:04:35.768814200
4,2021-08-11 21:04:35.802147600
5,2021-08-11 21:04:35.835481000
6,2021-08-11 21:04:35.868814400
7,2021-08-11 21:04:35.902147800
8,2021-08-11 21:04:35.935481200
9,2021-08-11 21:04:35.968814600
10,2021-08-11 21:04:36.002148000
11,2021-08-11 21:04:36.035481400
12,2021-08-11 21:04:36.068814800
13,2021-08-11 21:04:36.102148200
14,2021-08-11 21:04:36.135481600
15,2021-08-11 21:04:36.168815000
16,2021-08-11 21:04:36.202148400
17,2021-08-11 21:04:36.235481800
18,2021-08-11 21:04:36.268815200
19,2021-08-11 21:04:36.302148600
20,2021-08-11 21:04:36.335482000
21,2021-08-11 21:04:36.368815400
22,2021-08-11 21:04:36.402148800
23,2021-08-11 21:04:36.435482200
24,2021-08-11 21:04:36.468815600
25,2021-08-11 21:04:36.502149000
26,2021-08-11 21:04:36.535482400
27,2021-08-11 21:04:36.568815800
28,2021-08-11 21:04:36.602149200
29,2021-08-11 21:04:36.635482600
30,2021-08-11 21:04:36.668816000
31,2021-08-11 21:04:36.702149400
32,2021-08-11 21:04:36.735482800
33,2021-08-11 21:04:36.768816200
34,2021-08-11 21:04:36.802149600
35,2021-08-11 21:04:36.835483000
36,2021-08-11 21:04:36.868816400
37,2021-08-11 21:04:36.902149800
38,2021-08-11 21:04:36.935483200
39,2021-08-11 21:04:36.968816600
40,2021-08-11 21:04:37.002150000
41,2021-08-11 21:04:37.035483400
42,2021-08-11 21:04:37.068816800
43,2021-08-11 21:04:37.102150200
44,2021-08-11 21:04:37.135483600
45,2021-08-11 21:04:37.168817000
46,2021-08-11 21:04:37.202150400
47,2021-08-11 21:04:37.235483800
48,2021-08-11 21:04:37.268817200
49,2021-08-11 21:04:37.302150600
50,2021-08-11 21:04:37.335484000
51,2021-08-11 21:04:37.368817400
52,2021-08-11 21:04:37.402150800
53,2021-08-11 21:04:37.435484200
54,2021-08-11 21:04:37.468817600
55,2021-08-11 21:04:37.502151000
56,2021-08-11 21:04:37.535484400
57,2021-08-11 21:04:37.568817800
58,2021-08-11 21:04:37.602151200
59,2021-08-11 21:04:37.635484600
60,2021-08-11 21:04:37.668818000
61,2021-08-11 21:04:37.702151400
62,2021-08-11 21:04:37.735484800
63,2021-08-11 21:04:37.768818200
64,2021-08-11 21:04:37.802151600
65,2021-08-11 21:04:37.835485000
66,2021-08-11 21:04:37.868818400
67,2021-08-11 21:04:37.902151800
68,2021-08-11 21:04:37.935485200
69,2021-08-11 21:04:37.968818600
70,2021-08-11 21:04:38.002152000
71,2021-08-11 21:04:38.035485400
72,2021-08-11 21:04:38.068818800
73,2021-08-11 21:04:38.102152200
74,2021-08-11 21:04:38.135485600
75,2021-08-11 21:04:38.168819000
76,2021-08-11 21:04:38.202152400
77,2021-08-11 21:04:38.235485800
78,2021-08-11 21:04:38.268819200
79,2021-08-11 21:04:38.302152600
80,2021-08-11 21:04:38.335486000
81,2021-08-11 21:04:38.368819400
82,2021-08-11 21:04:38.402152800
83,2021-08-11 21:04:38.435486200
84,2021-08-11 21:04:38.468819600
85,2021-08-11 21:04:38.502153000
86,2021-08-11 21:04:38.535486400
87,2021-08-11 21:04:38.568819800
88,2021-08-11 21:04:38.602153200
89,2021-08-11 21:04:38.635486600
90,2021-08-11 21:04:38.668820000
91,2021-08-11 21:04:38.702153400
92,2021-08-11 21:04:38.735486800
93,2021-08-11 21:04:38.768820200
94,2021-08-11 21:04:38.802153600
95,2021-08-11 21:04:38.835487000
96,2021-08-11 21:04:38.868820400
97,2021-08-11 21:04:38.902153800
98,2021-08-11 21:04:38.935487200
99,2021-08-11 21:04:38.968820600
100,2021-08-11 21:04:39.002154000
101,2021-08-11 21:04:39.035487400
102,2021-08-11 21:04:39.068820800
103,2021-08-11 21:04:39.102154200
104,2021-08-11 21:04:39.135487600
105,2021-08-11 21:04:39.168821000
106,2021-08-11 21:04:39.202154400
107,2021-08-11 21:04:39.235487800
108,2021-08-11 21:04:39.268821200
109,2021-08-11 21:04:39.302154600
110,2021-08-11 21:04:39.335488000
111,2021-08-11 21:04:39.368821400
112,2021-08-11 21:04:39.402154800
113,2021-08-11 21:04:39.435488200
114,2021-08-11 21:04:39.468821600
115,2021-08-11 21:04:39.502155000
116,2021-08-11 21:04:39.535488400
117,2021-08-11 21:04:39.568821800
118,2021-08-11 21:04:39.602155200
119,2021-08-11 21:04:39.635488600
120,2021-08-11 21:04:39.668822000
121,2021-08-11 21:04:39.702155400
122,2021-08-11 21:04:39.735488800
123,2021-08-11 21:04:39.768822200
124,2021-08-11 21:04:39.802155600
125,2021-08-11 21:04:39.835489000
126,2021-08-11 21:04:39.868822400
127,2021-08-11 21:04:39.902155800
128,2021-08-11 21:04:39.935489200
129,2021-08-11 21:04:39.968822600
130,2021-08-11 21:04:40.002156000
131,2021-08-11 21:04:40.035489400
132,2021-08-11 21:04:40.068822800
133,2021-08-11 21:04:40.102156200
134,2021-08-11 21:04:40.135489600
135,2021-08-11 21:04:40.168823000
136,2021-08-11 21:04:40.202156400
137,2021-08-11 21:04:40.235489800
138,2021-08-11 21:04:40.268823200
139,2021-08-11 21:04:40.302156600
140,2021-08-11 21:04:40.335490000
141,2021-08-11 21:04:40.368823400
142,2021-08-11 21:04:40.402156800
143,2021-08-11 21:04:40.435490200
144,2021-08-11 21:04:40.468823600
145,2021-08-11 21:04:40.502157000
146,2021-08-11 21:04:40.535490400
147,2021-08-11 21:04:40.568823800
148,2021-08-11 21:04:40.602157200
149,2021-08-11 21:04:40.635490600
150,2021-08-11 21:04:40.668824000
151,2021-08-11 21:04:40.702157400
152,2021-08-11 21:04:40.735490800
153,2021-08-11 21:04:40.768824200
154,2021-08-11 21:04:40.802157600
155,2021-08-11 21:04:40.835491000
156,2021-08-11 21:04:40.868824400
157,2021-08-11 21:04:40.902157800
158,2021-08-11 21:04:40.935491200
159,2021-08-11 21:04:40.968824600
