,nr,datetime,x1,y1,x2,y2,lat,lon,height
152,1115,2022-06-25 21:05:09.273799000,482.52,55.59,466.3,360.98,49.42238703437567,11.447922828312668,30.7
154,1116,2022-06-25 21:05:09.340465800,477.94,56.26,461.95,359.21,49.42239028930561,11.447924336607567,30.7
156,1117,2022-06-25 21:05:09.407132600,473.74,56.9,458.04,357.57,49.42239028930561,11.447924336607567,30.7
158,1118,2022-06-25 21:05:09.473799400,469.82,57.44,454.38,356.03,49.4223929987719,11.447925557045997,30.8
160,1119,2022-06-25 21:05:09.540466200,466.09,58.03,450.8,354.61,49.422395645087896,11.447926737977175,30.8
162,1120,2022-06-25 21:05:09.607133000,462.43,58.57,447.32,353.2,49.422395645087896,11.447926737977175,30.8
165,1122,2022-06-25 21:05:09.740466600,455.11,59.7,440.33,350.51,49.42240014347559,11.447928970828622,30.8
167,1123,2022-06-25 21:05:09.807133400,451.5,60.31,436.83,349.17,49.42240014347559,11.447928970828622,30.8
169,1124,2022-06-25 21:05:09.873800200,447.88,60.87,433.41,347.86,49.4224020953268,11.447929871903574,30.8
172,1126,2022-06-25 21:05:10.007133800,440.92,62.0,426.73,345.28,49.422404411243065,11.447930959426442,30.8
174,1127,2022-06-25 21:05:10.073800600,437.59,62.52,423.58,344.05,49.42240694340539,11.447932058445918,30.8
176,1128,2022-06-25 21:05:10.140467400,434.41,63.04,420.54,342.88,49.42240914396871,11.447933066085106,30.8
178,1129,2022-06-25 21:05:10.207134200,431.25,63.56,417.54,341.73,49.42240914396871,11.447933066085106,30.8
180,1130,2022-06-25 21:05:10.273801000,428.09,64.09,414.47,340.59,49.4224114056093,11.447934188914292,30.9
182,1131,2022-06-25 21:05:10.340467800,424.8,64.59,411.33,339.42,49.42241350939129,11.447935166771604,30.9
184,1132,2022-06-25 21:05:10.407134600,421.45,65.18,408.08,338.27,49.42241350939129,11.447935166771604,30.9
186,1133,2022-06-25 21:05:10.473801400,417.98,65.76,404.74,337.07,49.42241574995893,11.447936386235554,30.9
188,1134,2022-06-25 21:05:10.540468200,414.42,66.32,401.3,335.82,49.42241802515131,11.44793748354965,30.9
190,1135,2022-06-25 21:05:10.607135000,410.76,66.92,397.75,334.52,49.42241802515131,11.44793748354965,30.9
192,1136,2022-06-25 21:05:10.673801800,406.99,67.48,394.14,333.2,49.42242066406608,11.447938874718728,30.9
194,1137,2022-06-25 21:05:10.740468600,403.17,68.1,390.47,331.82,49.42242320200205,11.447940100003414,30.9
196,1138,2022-06-25 21:05:10.807135400,399.23,68.72,386.66,330.4,49.42242320200205,11.447940100003414,30.9
198,1139,2022-06-25 21:05:10.873802200,395.23,69.31,382.81,328.95,49.42242608147388,11.447941582144535,30.9
200,1140,2022-06-25 21:05:10.940469000,391.13,69.93,378.91,327.44,49.4224288745295,11.447942918997716,30.9
201,1160,2022-06-25 21:05:12.273805000,305.33,83.03,296.55,295.62,49.42247274294551,11.447964111442165,30.7
203,1161,2022-06-25 21:05:12.340471800,301.08,83.74,292.49,294.0,49.42247649821209,11.447965930408348,30.7
205,1162,2022-06-25 21:05:12.407138600,297.03,84.38,288.62,292.42,49.42247649821209,11.447965930408348,30.7
207,1163,2022-06-25 21:05:12.473805400,293.12,85.06,284.83,290.88,49.42248023819662,11.447967659851722,30.8
209,1164,2022-06-25 21:05:12.540472200,289.3,85.74,281.17,289.41,49.42248386377059,11.447969416213343,30.7
211,1165,2022-06-25 21:05:12.607139000,285.52,86.32,277.55,287.96,49.42248386377059,11.447969416213343,30.7
213,1166,2022-06-25 21:05:12.673805800,282.04,86.95,274.23,286.65,49.42248727248152,11.447971120582126,30.7
215,1167,2022-06-25 21:05:12.740472600,278.96,87.4,271.27,285.38,49.42249051610404,11.44797268718973,30.7
217,1168,2022-06-25 21:05:12.807139400,276.16,87.89,268.59,284.28,49.42249051610404,11.44797268718973,30.7
219,1169,2022-06-25 21:05:12.873806200,273.61,88.25,266.18,283.24,49.422493024332304,11.447973817189448,30.7
221,1170,2022-06-25 21:05:12.940473000,271.35,88.66,264.0,282.27,49.42249553650103,11.447974984694726,30.7
223,1171,2022-06-25 21:05:13.007139800,269.27,89.01,262.0,281.45,49.42249553650103,11.447974984694726,30.7
225,1172,2022-06-25 21:05:13.073806600,267.37,89.28,260.23,280.72,49.4224968230812,11.447975856185298,30.7
227,1173,2022-06-25 21:05:13.140473400,265.69,89.6,258.59,280.01,49.42249864563362,11.447976708356824,30.7
229,1174,2022-06-25 21:05:13.207140200,264.21,89.87,257.18,279.39,49.42249864563362,11.447976708356824,30.7
231,1179,2022-06-25 21:05:13.540474200,259.33,90.83,252.53,277.47,49.42250221583534,11.44797794316924,30.8
232,1180,2022-06-25 21:05:13.607141000,258.83,91.02,252.01,277.25,49.42250221583534,11.44797794316924,30.8
233,1181,2022-06-25 21:05:13.673807800,258.31,91.22,251.56,277.12,49.42250253007915,11.447978132540683,30.8
234,1182,2022-06-25 21:05:13.740474600,257.75,91.44,250.94,276.93,49.42250283623644,11.44797827709774,30.8
235,1183,2022-06-25 21:05:13.807141400,257.07,91.59,250.34,276.77,49.42250283623644,11.44797827709774,30.8
236,1184,2022-06-25 21:05:13.873808200,256.42,91.76,249.62,276.56,49.42250324354384,11.447978572704226,30.8
237,1185,2022-06-25 21:05:13.940475000,255.63,91.96,248.82,276.3,49.422503706531785,11.447978824233784,30.8
238,1186,2022-06-25 21:05:14.007141800,254.72,92.16,247.96,276.02,49.422503706531785,11.447978824233784,30.8
239,1187,2022-06-25 21:05:14.073808600,253.71,92.36,246.96,275.69,49.4225048815453,11.447979381905084,30.8
240,1188,2022-06-25 21:05:14.140475400,252.56,92.63,245.88,275.31,49.42250571558833,11.447979813600902,30.8
241,1189,2022-06-25 21:05:14.207142200,251.32,92.84,244.68,274.91,49.42250571558833,11.447979813600902,30.8
242,1190,2022-06-25 21:05:14.273809000,250.02,93.08,243.4,274.42,49.42250751967197,11.44798069373044,30.8
243,1191,2022-06-25 21:05:14.340475800,248.53,93.36,241.98,273.97,49.422508720384194,11.44798129954791,30.8
244,1192,2022-06-25 21:05:14.407142600,247.19,93.62,240.67,273.5,49.422508720384194,11.44798129954791,30.8
245,1193,2022-06-25 21:05:14.473809400,246.06,93.9,239.51,273.09,49.4225105250846,11.447982457255415,30.9
247,1194,2022-06-25 21:05:14.540476200,245.03,94.12,238.54,272.8,49.422511648220976,11.447983053459424,30.9
248,1195,2022-06-25 21:05:14.607143000,244.16,94.32,237.72,272.52,49.422511648220976,11.447983053459424,30.9
249,1196,2022-06-25 21:05:14.673809800,243.36,94.51,236.98,272.28,49.42251278184242,11.447983802332644,30.9
250,1197,2022-06-25 21:05:14.740476600,242.8,94.72,236.36,272.12,49.422513473823,11.4479842084804,30.9
251,1198,2022-06-25 21:05:14.807143400,242.23,94.86,235.83,271.99,49.422513473823,11.4479842084804,30.9
252,1199,2022-06-25 21:05:14.873810200,241.76,95.0,235.35,271.89,49.422513491435176,11.447984458995904,30.9
253,1200,2022-06-25 21:05:14.940477000,241.27,95.16,234.9,271.85,49.42251382048145,11.447984694669852,31.0
254,1201,2022-06-25 21:05:15.007143800,240.83,95.27,234.5,271.81,49.42251382048145,11.447984694669852,31.0
255,1202,2022-06-25 21:05:15.073810600,240.43,95.38,234.0,271.73,49.422513932596345,11.447984819170385,31.0
256,1203,2022-06-25 21:05:15.140477400,239.86,95.5,233.51,271.6,49.42251415699747,11.447985003168856,31.0
257,1204,2022-06-25 21:05:15.207144200,239.37,95.55,232.91,271.48,49.42251415699747,11.447985003168856,31.0
258,1205,2022-06-25 21:05:15.273811000,238.71,95.62,232.32,271.26,49.422514623651765,11.44798530875751,30.9
259,1206,2022-06-25 21:05:15.340477800,237.96,95.7,231.68,270.99,49.422515109528696,11.447985621628666,30.9
260,1207,2022-06-25 21:05:15.407144600,237.17,95.79,230.85,270.69,49.422515109528696,11.447985621628666,30.9
261,1208,2022-06-25 21:05:15.473811400,236.25,95.93,229.95,270.37,49.42251610965392,11.447986035493548,30.9
262,1209,2022-06-25 21:05:15.540478200,235.19,96.1,228.94,269.98,49.42251698430092,11.447986515138007,30.9
263,1210,2022-06-25 21:05:15.607145000,234.05,96.28,227.83,269.56,49.42251698430092,11.447986515138007,30.9
264,1211,2022-06-25 21:05:15.673811800,232.82,96.46,226.59,269.08,49.42251851666354,11.44798736752028,30.9
265,1212,2022-06-25 21:05:15.740478600,231.38,96.69,225.29,268.57,49.42251977226821,11.44798803259864,30.9
266,1213,2022-06-25 21:05:15.807145400,230.0,96.87,223.88,268.01,49.42251977226821,11.44798803259864,30.9
267,1214,2022-06-25 21:05:15.873812200,228.41,97.07,222.38,267.42,49.42252158491809,11.44798889006418,30.9
268,1215,2022-06-25 21:05:15.940479000,226.77,97.3,220.78,266.82,49.42252318649589,11.447989714883551,31.0
269,1216,2022-06-25 21:05:16.007145800,225.03,97.57,219.11,266.12,49.42252318649589,11.447989714883551,31.0
270,1217,2022-06-25 21:05:16.073812600,223.24,97.81,217.36,265.41,49.42252499136762,11.447990689027186,31.0
271,1218,2022-06-25 21:05:16.140479400,221.29,98.06,215.52,264.7,49.42252688262129,11.447991654887469,31.0
272,1219,2022-06-25 21:05:16.207146200,219.29,98.35,213.56,263.96,49.42252688262129,11.447991654887469,31.0
273,1220,2022-06-25 21:05:16.273813000,217.25,98.64,211.57,263.13,49.42252889428197,11.447992593632602,31.0
274,1221,2022-06-25 21:05:16.340479800,215.11,98.93,209.48,262.31,49.42253105523502,11.447993690130216,31.0
275,1222,2022-06-25 21:05:16.407146600,212.85,99.25,207.36,261.45,49.42253105523502,11.447993690130216,31.0
276,1223,2022-06-25 21:05:16.473813400,210.49,99.54,205.14,260.59,49.4225333596554,11.447994666894502,31.0
277,1224,2022-06-25 21:05:16.540480200,208.18,99.84,202.84,259.67,49.42253578283806,11.447995871483974,31.0
278,1225,2022-06-25 21:05:16.607147000,205.69,100.18,200.46,258.73,49.42253578283806,11.447995871483974,31.0
279,1226,2022-06-25 21:05:16.673813800,203.24,100.5,198.07,257.76,49.42253826896545,11.44799717725153,31.0
280,1227,2022-06-25 21:05:16.740480600,200.62,100.79,195.59,256.75,49.42254093135177,11.447998486693784,31.0
281,1228,2022-06-25 21:05:16.807147400,198.06,101.15,193.09,255.68,49.42254093135177,11.447998486693784,31.0
282,1229,2022-06-25 21:05:16.873814200,195.34,101.48,190.5,254.64,49.4225434936158,11.447999658004449,31.0
283,1230,2022-06-25 21:05:16.940481000,192.56,101.79,187.88,253.54,49.42254638506321,11.448001053558832,31.0
284,1231,2022-06-25 21:05:17.007147800,189.78,102.13,185.2,252.42,49.42254638506321,11.448001053558832,31.0
285,1232,2022-06-25 21:05:17.073814600,187.0,102.45,182.45,251.3,49.42254920294387,11.448002158011157,31.0
286,1233,2022-06-25 21:05:17.140481400,184.14,102.77,179.69,250.13,49.42255231721615,11.448003619752784,30.9
287,1234,2022-06-25 21:05:17.207148200,181.21,103.15,176.91,248.93,49.42255231721615,11.448003619752784,30.9
288,1235,2022-06-25 21:05:17.273815000,178.27,103.48,174.09,247.72,49.422555411306455,11.44800487825649,30.9
289,1236,2022-06-25 21:05:17.340481800,175.32,103.8,171.23,246.49,49.42255873243628,11.448006403908275,30.9
290,1237,2022-06-25 21:05:17.407148600,172.32,104.21,168.35,245.26,49.42255873243628,11.448006403908275,30.9
291,1238,2022-06-25 21:05:17.473815400,169.29,104.52,165.44,243.98,49.42256158406784,11.448007713494864,30.9
292,1239,2022-06-25 21:05:17.540482200,166.27,104.91,162.52,242.73,49.42256506192553,11.448009305676871,30.9
293,1240,2022-06-25 21:05:17.607149000,163.21,105.33,159.59,241.44,49.42256506192553,11.448009305676871,30.9
294,1241,2022-06-25 21:05:17.673815800,160.15,105.63,156.64,240.17,49.42256887749853,11.44801083634608,30.8
295,1242,2022-06-25 21:05:17.740482600,157.05,106.08,153.65,238.86,49.4225725826356,11.448012513745246,30.8
296,1243,2022-06-25 21:05:17.807149400,153.99,106.49,150.68,237.54,49.4225725826356,11.448012513745246,30.8
297,1244,2022-06-25 21:05:17.873816200,150.83,106.87,147.71,236.25,49.42257630480235,11.448014241529338,30.8
298,1245,2022-06-25 21:05:17.940483000,147.69,107.39,144.7,234.96,49.422580191235255,11.448016037042038,30.8
299,1246,2022-06-25 21:05:18.007149800,144.59,107.84,141.73,233.69,49.422580191235255,11.448016037042038,30.8
300,1247,2022-06-25 21:05:18.073816600,141.4,108.37,138.69,232.4,49.42258393646231,11.448017916138928,30.8
301,1248,2022-06-25 21:05:18.140483400,138.3,108.81,135.68,231.15,49.42258797849233,11.4480198327282,30.8
302,1249,2022-06-25 21:05:18.207150200,135.15,109.38,132.58,229.84,49.42258797849233,11.4480198327282,30.8
303,1250,2022-06-25 21:05:18.273817000,132.03,109.84,129.54,228.56,49.42259237944765,11.44802193048459,30.7
304,1251,2022-06-25 21:05:18.340483800,128.84,110.41,126.51,227.29,49.42259662048848,11.448023967518326,30.7
305,1252,2022-06-25 21:05:18.407150600,125.7,110.96,123.47,226.01,49.42259662048848,11.448023967518326,30.7
306,1253,2022-06-25 21:05:18.473817399,122.54,111.52,120.41,224.78,49.422600614170655,11.448025651080616,30.7
307,1258,2022-06-25 21:05:18.807151400,110.33,113.82,108.49,220.19,49.42261232229689,11.44803182822466,30.7
308,1259,2022-06-25 21:05:18.873818200,108.47,114.2,106.67,219.5,49.42261511653465,11.448033012046409,30.7
309,1260,2022-06-25 21:05:18.940485000,106.73,114.49,104.89,218.7,49.42261801192254,11.44803436894947,30.7
310,1261,2022-06-25 21:05:19.007151800,105.09,114.7,103.35,217.74,49.42261801192254,11.44803436894947,30.7
311,1262,2022-06-25 21:05:19.073818600,103.62,114.99,101.84,216.93,49.42261984852361,11.44803514022328,30.7
312,1263,2022-06-25 21:05:19.140485400,102.24,115.21,100.5,216.16,49.42262207968552,11.44803613894038,30.7
313,1264,2022-06-25 21:05:19.207152200,101.05,115.4,99.22,215.53,49.42262207968552,11.44803613894038,30.7
314,1265,2022-06-25 21:05:19.273819000,99.91,115.58,98.11,215.12,49.42262376373905,11.448036866321644,30.8
315,1266,2022-06-25 21:05:19.340485800,98.81,115.7,97.17,214.62,49.42262541315077,11.448037573962797,30.8
316,1267,2022-06-25 21:05:19.407152600,97.94,115.85,96.26,214.27,49.42262541315077,11.448037573962797,30.8
317,1268,2022-06-25 21:05:19.473819399,97.15,116.09,95.5,213.91,49.42262632202839,11.44803796694111,30.8
318,1269,2022-06-25 21:05:19.540486200,96.48,116.26,94.9,213.63,49.42262735953667,11.448038414189574,30.8
319,1270,2022-06-25 21:05:19.607153000,95.85,116.44,94.26,213.48,49.42262735953667,11.448038414189574,30.8
320,1271,2022-06-25 21:05:19.673819800,95.34,116.55,93.82,213.28,49.42262829068657,11.44803902541951,30.8
321,1272,2022-06-25 21:05:19.740486600,94.95,116.62,93.33,213.27,49.42262881254168,11.448039279543336,30.8
322,1273,2022-06-25 21:05:19.807153400,94.61,116.78,92.98,213.17,49.42262881254168,11.448039279543336,30.8
323,1274,2022-06-25 21:05:19.873820200,94.27,116.97,92.63,213.12,49.42262913891527,11.448039738367449,30.9
324,1275,2022-06-25 21:05:19.940487000,94.02,117.1,92.51,213.22,49.42262926716896,11.448039870361182,30.9
325,1276,2022-06-25 21:05:20.007153800,93.78,117.32,92.17,213.21,49.42262926716896,11.448039870361182,30.9
326,1277,2022-06-25 21:05:20.073820600,93.52,117.45,91.83,213.24,49.42262957384023,11.44804041005666,30.9
327,1278,2022-06-25 21:05:20.140487400,93.32,117.65,91.75,213.42,49.42262953306494,11.448040514395323,30.9
328,1279,2022-06-25 21:05:20.207154200,93.11,117.78,91.62,213.57,49.42262953306494,11.448040514395323,30.9
329,1280,2022-06-25 21:05:20.273821000,92.93,117.87,91.49,213.64,49.42262986022664,11.448040857766063,30.9
330,1281,2022-06-25 21:05:20.340487800,92.8,118.0,91.3,213.76,49.42262976438758,11.448040948329863,30.9
331,1282,2022-06-25 21:05:20.407154600,92.61,118.1,91.09,213.8,49.42262976438758,11.448040948329863,30.9
332,1283,2022-06-25 21:05:20.473821399,92.4,118.2,90.82,213.71,49.4226302432402,11.44804131919766,30.9
333,1284,2022-06-25 21:05:20.540488200,92.23,118.22,90.72,213.79,49.422630154151335,11.44804140976146,30.9
334,1287,2022-06-25 21:05:20.740488600,91.84,118.33,90.25,213.85,49.42263048114171,11.448041800435556,30.9
335,1288,2022-06-25 21:05:20.807155400,91.72,118.31,90.0,213.83,49.42263048114171,11.448041800435556,30.9
336,1290,2022-06-25 21:05:20.940489000,91.31,118.24,89.67,213.63,49.422630613027486,11.44804210532622,31.0
