nr,datetime,x1,y1,x2,y2
1170,2022-06-25 21:05:12.940473,271.35,88.66,264.0,282.27
1750,2022-06-25 21:05:51.607217,435.02,341.03,395.09,430.93
1998,2022-06-25 21:06:08.140583400,380.86,313.46,354.44,352.64
2636,2022-06-25 21:06:50.674001800,584.11,344.46,551.15,380.24
3109,2022-06-25 21:07:22.207398200,481.0,22.42,511.0,42.57
3601,2022-06-25 21:07:55.007463800,344.76,413.06,304.96,420.75
3879,2022-06-25 21:08:13.540834200,188.6,301.53,174.46,265.7
4319,2022-06-25 21:08:42.874226200,255.26,89.81,277.16,50.68
