x,y,area,max_scoreImg,max_innerToRing,nr
372.0,363.0,1.0,11.0,10.0,56180
347.0,345.0,1.0,9.0,7.0,56181
373.28,364.36,3.0,9.0,7.0,56181
353.58,344.0,2.0,11.0,11.0,56182
374.38,366.0,2.0,13.0,12.0,56182
359.65,344.0,2.0,13.0,11.0,56183
375.46,367.25,3.0,13.0,12.0,56183
366.54,344.0,2.0,14.0,13.0,56184
378.0,368.0,1.0,10.0,10.0,56184
373.43,344.0,2.0,13.0,11.0,56185
379.0,369.0,1.0,12.0,12.0,56185
379.62,344.0,2.0,16.0,15.0,56186
380.62,370.0,2.0,13.0,12.0,56186
387.0,344.0,1.0,8.0,6.0,56187
382.59,370.0,2.0,10.0,9.0,56187
393.62,343.0,2.0,15.0,13.0,56188
384.65,370.0,2.0,17.0,16.0,56188
400.48,343.0,2.0,11.0,11.0,56189
387.0,369.0,1.0,13.0,13.0,56189
407.57,343.0,2.0,13.0,12.0,56190
389.45,368.55,4.0,13.0,12.0,56190
414.42,342.31,3.0,11.0,9.0,56191
391.77,367.77,3.0,16.0,14.0,56191
274.39,319.69,55.0,102.0,25.0,56192
422.43,342.0,2.0,13.0,12.0,56192
394.5,366.0,2.0,8.0,9.0,56192
429.57,342.0,2.0,13.0,11.0,56193
397.23,364.43,3.0,13.0,12.0,56193
437.56,341.0,2.0,15.0,14.0,56194
399.71,362.82,3.0,20.0,19.0,56194
445.03,340.33,4.0,13.0,12.0,56195
402.24,361.45,3.0,13.0,12.0,56195
453.0,340.0,1.0,12.0,11.0,56196
404.5,360.24,3.0,21.0,21.0,56196
460.55,339.43,4.0,17.0,15.0,56197
406.8,359.44,5.0,16.0,14.0,56197
468.55,339.0,2.0,12.0,9.0,56198
409.31,359.0,2.0,22.0,20.0,56198
476.55,338.59,4.0,14.0,13.0,56199
411.02,359.0,3.0,24.0,22.0,56199
484.7,338.26,3.0,12.0,11.0,56200
412.26,359.76,5.0,25.0,24.0,56200
492.69,338.0,2.0,18.0,17.0,56201
413.29,360.95,6.0,35.0,34.0,56201
500.89,337.66,5.0,13.0,10.0,56202
413.96,362.58,6.0,27.0,25.0,56202
509.59,337.48,4.0,14.0,13.0,56203
414.3,364.28,3.0,18.0,17.0,56203
517.97,337.0,3.0,16.0,14.0,56204
414.48,365.73,4.0,24.0,22.0,56204
526.7,336.81,3.0,22.0,18.0,56205
415.04,367.69,5.0,30.0,29.0,56205
534.89,336.8,4.0,16.0,13.0,56206
415.29,369.4,3.0,14.0,12.0,56206
543.54,336.56,4.0,12.0,10.0,56207
415.32,371.24,3.0,16.0,16.0,56207
551.52,336.5,4.0,14.0,12.0,56208
415.76,372.76,3.0,18.0,17.0,56208
559.98,336.22,4.0,14.0,13.0,56209
416.74,374.23,3.0,16.0,16.0,56209
568.31,336.33,5.0,15.0,11.0,56210
417.58,376.0,2.0,11.0,10.0,56210
577.52,336.0,2.0,11.0,10.0,56211
418.73,377.0,2.0,19.0,19.0,56211
586.09,335.85,4.0,17.0,17.0,56212
420.69,377.8,3.0,17.0,17.0,56212
594.77,335.62,5.0,12.0,11.0,56213
422.24,378.74,3.0,17.0,16.0,56213
604.0,335.59,6.0,20.0,19.0,56214
423.44,380.0,2.0,15.0,14.0,56214
612.87,336.0,3.0,13.0,10.0,56215
425.29,380.29,3.0,13.0,12.0,56215
621.96,336.27,4.0,19.0,17.0,56216
426.74,381.0,2.0,20.0,19.0,56216
630.78,336.65,5.0,10.0,8.0,56217
428.63,381.77,3.0,12.0,10.0,56217
249.6,322.36,50.0,100.0,17.0,56218
430.65,381.81,3.0,17.0,14.0,56218
269.2,319.97,53.0,105.0,14.0,56219
432.78,381.75,3.0,19.0,18.0,56219
291.85,317.04,56.0,104.0,12.0,56220
434.73,382.0,2.0,19.0,18.0,56220
436.96,381.83,4.0,22.0,19.0,56221
439.44,381.42,4.0,13.0,12.0,56222
441.9,381.0,3.0,24.0,22.0,56223
444.16,380.63,5.0,24.0,23.0,56224
446.34,380.26,3.0,15.0,13.0,56225
448.27,380.58,5.0,21.0,21.0,56226
449.89,381.31,5.0,33.0,33.0,56227
451.36,382.26,3.0,22.0,20.0,56228
452.35,383.35,3.0,13.0,12.0,56229
453.39,384.58,4.0,28.0,28.0,56230
454.67,385.8,3.0,23.0,22.0,56231
455.5,387.23,3.0,15.0,15.0,56232
457.0,388.59,4.0,19.0,18.0,56233
458.77,389.6,3.0,17.0,16.0,56234
460.6,390.48,4.0,19.0,18.0,56235
462.51,391.47,4.0,13.0,12.0,56236
464.4,392.24,3.0,17.0,16.0,56237
466.82,392.6,3.0,17.0,17.0,56238
468.76,393.31,5.0,20.0,15.0,56239
470.74,393.77,3.0,20.0,19.0,56240
473.15,393.7,5.0,25.0,24.0,56241
475.59,394.0,2.0,13.0,13.0,56242
477.49,394.47,4.0,14.0,13.0,56243
479.86,394.36,5.0,21.0,20.0,56244
482.31,394.22,3.0,17.0,16.0,56245
263.9,321.0,54.0,106.0,10.0,56246
484.16,394.18,4.0,16.0,15.0,56246
285.68,318.15,60.0,105.0,7.0,56247
486.78,393.68,3.0,17.0,15.0,56247
489.67,392.6,3.0,17.0,16.0,56248
492.14,391.81,4.0,19.0,18.0,56249
494.49,390.9,5.0,22.0,21.0,56250
497.55,389.52,4.0,21.0,20.0,56251
500.5,388.38,4.0,19.0,16.0,56252
503.35,387.22,3.0,17.0,17.0,56253
506.26,385.51,5.0,22.0,21.0,56254
509.59,383.89,4.0,22.0,24.0,56255
512.54,382.29,5.0,25.0,23.0,56256
515.74,380.79,3.0,20.0,20.0,56257
518.9,379.88,6.0,33.0,30.0,56258
521.71,379.44,5.0,25.0,24.0,56259
524.61,379.14,5.0,30.0,30.0,56260
527.02,379.19,4.0,21.0,21.0,56261
529.64,379.22,5.0,32.0,30.0,56262
532.6,379.0,4.0,24.0,22.0,56263
535.39,379.22,3.0,16.0,15.0,56264
538.34,378.65,5.0,19.0,18.0,56265
541.86,377.57,5.0,30.0,30.0,56266
545.5,376.71,4.0,20.0,20.0,56267
548.57,376.04,4.0,21.0,21.0,56268
552.2,374.92,6.0,31.0,29.0,56269
555.42,373.82,6.0,22.0,21.0,56270
558.52,372.87,5.0,19.0,17.0,56271
562.32,371.35,6.0,21.0,19.0,56272
258.16,321.65,51.0,104.0,18.0,56273
565.61,370.35,4.0,24.0,22.0,56273
279.16,318.95,54.0,106.0,15.0,56274
568.63,368.93,6.0,31.0,29.0,56274
572.46,367.19,7.0,27.0,24.0,56275
575.96,365.78,4.0,22.0,22.0,56276
579.5,364.05,6.0,25.0,23.0,56277
583.36,362.33,6.0,18.0,17.0,56278
586.65,360.56,4.0,19.0,19.0,56279
590.67,358.21,5.0,34.0,33.0,56280
594.88,356.02,7.0,30.0,28.0,56281
598.74,353.71,3.0,19.0,18.0,56282
602.79,351.19,6.0,32.0,30.0,56283
607.17,348.05,7.0,21.0,20.0,56284
611.61,345.21,5.0,21.0,18.0,56285
615.61,342.43,4.0,21.0,19.0,56286
619.86,338.87,8.0,26.0,24.0,56287
624.42,334.58,8.0,24.0,21.0,56288
629.09,330.25,8.0,29.0,28.0,56289
633.59,325.96,4.0,26.0,25.0,56290
637.98,321.5,4.0,18.0,17.0,56291
242.06,471.97,7.0,12.0,11.0,56297
253.36,450.76,5.0,15.0,12.0,56298
264.59,429.47,6.0,15.0,12.0,56299
276.43,407.35,7.0,15.0,13.0,56300
288.81,384.26,4.0,14.0,13.0,56301
301.61,361.28,6.0,16.0,14.0,56302
315.37,336.78,5.0,14.0,13.0,56303
328.4,312.45,4.0,13.0,13.0,56304
341.2,286.95,6.0,12.0,9.0,56305
353.76,260.76,3.0,14.0,10.0,56306
389.16,179.29,8.0,14.0,10.0,56309
412.54,121.95,8.0,17.0,13.0,56311
424.61,92.77,6.0,16.0,14.0,56312
436.87,63.3,6.0,15.0,12.0,56313
449.23,33.37,9.0,12.0,9.0,56314
462.63,4.33,11.0,16.0,13.0,56315
538.0,61.0,1.0,7.0,5.0,56315
634.0,70.0,1.0,7.0,5.0,56315
606.0,380.0,1.0,7.0,5.0,56315
