x,y,area,max_scoreImg,max_innerToRing,nr
299.38,468.33,3.0,9.0,8.0,56075
300.65,465.0,2.0,15.0,13.0,56076
302.0,462.52,2.0,14.0,12.0,56077
303.39,460.0,2.0,17.0,16.0,56078
305.0,458.0,1.0,11.0,10.0,56079
306.0,455.66,2.0,23.0,22.0,56080
307.66,453.79,3.0,17.0,15.0,56081
309.16,452.0,4.0,34.0,34.0,56082
613.0,71.0,1.0,7.0,5.0,56083
310.52,450.61,4.0,26.0,24.0,56083
311.8,449.84,3.0,31.0,29.0,56084
187.0,414.0,1.0,7.0,7.0,56085
313.0,448.82,2.0,32.0,30.0,56085
314.0,447.62,2.0,13.0,11.0,56086
315.5,445.5,2.0,7.0,7.0,56087
316.0,443.0,1.0,15.0,14.0,56088
316.57,440.0,2.0,16.0,16.0,56089
316.7,436.46,4.0,21.0,21.0,56090
316.23,432.77,3.0,21.0,22.0,56091
315.0,429.36,2.0,18.0,16.0,56092
313.53,426.0,2.0,18.0,15.0,56093
311.33,422.74,3.0,19.0,17.0,56094
309.0,420.0,1.0,28.0,28.0,56095
306.32,417.63,3.0,15.0,15.0,56096
303.78,415.72,3.0,16.0,16.0,56097
301.28,414.0,2.0,21.0,20.0,56098
299.0,413.0,1.0,7.0,6.0,56099
296.0,412.0,1.0,12.0,12.0,56100
294.0,411.0,1.0,15.0,15.0,56101
291.7,410.27,3.0,13.0,12.0,56102
289.56,410.0,2.0,14.0,13.0,56103
287.77,410.0,2.0,23.0,21.0,56104
286.33,410.0,2.0,18.0,17.0,56105
286.0,410.0,1.0,8.0,5.0,56106
285.0,410.0,1.0,21.0,21.0,56107
284.58,410.0,2.0,11.0,10.0,56108
284.42,410.0,2.0,11.0,10.0,56109
285.0,409.0,1.0,12.0,15.0,56110
285.0,409.0,1.0,15.0,17.0,56111
287.36,240.68,6.0,8.0,5.0,56112
286.0,408.57,2.0,13.0,15.0,56112
287.0,407.46,2.0,13.0,13.0,56113
288.0,406.23,2.0,24.0,22.0,56114
289.46,405.0,2.0,13.0,12.0,56115
290.65,403.0,2.0,17.0,15.0,56116
292.0,401.0,1.0,21.0,20.0,56117
293.76,398.79,3.0,19.0,18.0,56118
295.0,396.67,2.0,16.0,15.0,56119
296.42,393.81,3.0,18.0,16.0,56120
298.0,390.61,2.0,20.0,19.0,56121
299.28,387.72,3.0,11.0,11.0,56122
68.0,186.0,1.0,7.0,7.0,56123
