nr,datetime
56217, 2022-06-23 22:56:37.280221800
56218, 2022-06-23 22:56:37.346888600
56219, 2022-06-23 22:56:37.413555400
56220, 2022-06-23 22:56:37.480222200
56221, 2022-06-23 22:56:37.546889
56222, 2022-06-23 22:56:37.613555800
56223, 2022-06-23 22:56:37.680222600
56224, 2022-06-23 22:56:37.746889400
56225, 2022-06-23 22:56:37.813556200
56226, 2022-06-23 22:56:37.880223
56227, 2022-06-23 22:56:37.946889800
56228, 2022-06-23 22:56:38.013556600
56229, 2022-06-23 22:56:38.080223400
56230, 2022-06-23 22:56:38.146890200
56231, 2022-06-23 22:56:38.213557
56232, 2022-06-23 22:56:38.280223800
56233, 2022-06-23 22:56:38.346890600
56234, 2022-06-23 22:56:38.413557400
56235, 2022-06-23 22:56:38.480224200
56236, 2022-06-23 22:56:38.546891
56237, 2022-06-23 22:56:38.613557800
56238, 2022-06-23 22:56:38.680224600
56239, 2022-06-23 22:56:38.746891400
56240, 2022-06-23 22:56:38.813558200
56241, 2022-06-23 22:56:38.880225
56242, 2022-06-23 22:56:38.946891800
56243, 2022-06-23 22:56:39.013558600
56244, 2022-06-23 22:56:39.080225400
56245, 2022-06-23 22:56:39.146892200
56246, 2022-06-23 22:56:39.213559
56247, 2022-06-23 22:56:39.280225800
56248, 2022-06-23 22:56:39.346892600
56249, 2022-06-23 22:56:39.413559399
56250, 2022-06-23 22:56:39.480226200
56251, 2022-06-23 22:56:39.546893
56252, 2022-06-23 22:56:39.613559800
56253, 2022-06-23 22:56:39.680226600
56254, 2022-06-23 22:56:39.746893400
56255, 2022-06-23 22:56:39.813560200
56256, 2022-06-23 22:56:39.880227
56257, 2022-06-23 22:56:39.946893800
56258, 2022-06-23 22:56:40.013560600
56259, 2022-06-23 22:56:40.080227400
56260, 2022-06-23 22:56:40.146894200
56261, 2022-06-23 22:56:40.213561
56262, 2022-06-23 22:56:40.280227800
56263, 2022-06-23 22:56:40.346894600
56264, 2022-06-23 22:56:40.413561399
56265, 2022-06-23 22:56:40.480228200
56266, 2022-06-23 22:56:40.546895
56267, 2022-06-23 22:56:40.613561800
56268, 2022-06-23 22:56:40.680228600
56269, 2022-06-23 22:56:40.746895400
56270, 2022-06-23 22:56:40.813562200
56271, 2022-06-23 22:56:40.880229
56272, 2022-06-23 22:56:40.946895800
56273, 2022-06-23 22:56:41.013562600
56274, 2022-06-23 22:56:41.080229400
56275, 2022-06-23 22:56:41.146896200
56276, 2022-06-23 22:56:41.213563
56277, 2022-06-23 22:56:41.280229800
56278, 2022-06-23 22:56:41.346896600
56279, 2022-06-23 22:56:41.413563399
56280, 2022-06-23 22:56:41.480230200
56281, 2022-06-23 22:56:41.546897
56282, 2022-06-23 22:56:41.613563800
56283, 2022-06-23 22:56:41.680230600
56284, 2022-06-23 22:56:41.746897400
56285, 2022-06-23 22:56:41.813564200
56286, 2022-06-23 22:56:41.880231
56287, 2022-06-23 22:56:41.946897800
56288, 2022-06-23 22:56:42.013564600
56289, 2022-06-23 22:56:42.080231400
56290, 2022-06-23 22:56:42.146898200
56291, 2022-06-23 22:56:42.213565
56292, 2022-06-23 22:56:42.280231800
56293, 2022-06-23 22:56:42.346898600
56294, 2022-06-23 22:56:42.413565399
56295, 2022-06-23 22:56:42.480232200
56296, 2022-06-23 22:56:42.546899
56297, 2022-06-23 22:56:42.613565800
56298, 2022-06-23 22:56:42.680232600
56299, 2022-06-23 22:56:42.746899400
56300, 2022-06-23 22:56:42.813566200
56301, 2022-06-23 22:56:42.880233
56302, 2022-06-23 22:56:42.946899800
56303, 2022-06-23 22:56:43.013566600
56304, 2022-06-23 22:56:43.080233400
56305, 2022-06-23 22:56:43.146900200
56306, 2022-06-23 22:56:43.213567
56307, 2022-06-23 22:56:43.280233800
56308, 2022-06-23 22:56:43.346900600
56309, 2022-06-23 22:56:43.413567399
56310, 2022-06-23 22:56:43.480234200
56311, 2022-06-23 22:56:43.546901
56312, 2022-06-23 22:56:43.613567800
56313, 2022-06-23 22:56:43.680234600
56314, 2022-06-23 22:56:43.746901400
56315, 2022-06-23 22:56:43.813568200
56316, 2022-06-23 22:56:43.880235
56317, 2022-06-23 22:56:43.946901800
56318, 2022-06-23 22:56:44.013568600
56319, 2022-06-23 22:56:44.080235400
56320, 2022-06-23 22:56:44.146902200
