x,y,area,max_scoreImg,max_innerToRing,nr
559.0,241.0,1.0,15.0,15.8,23
559.0,241.0,1.0,18.0,15.7,30
559.0,241.0,1.0,16.0,15.1,32
559.0,241.0,1.0,16.0,16.1,38
559.0,241.0,1.0,17.0,16.8,47
559.0,241.0,1.0,18.0,14.1,48
559.0,241.0,1.0,15.0,16.6,51
559.0,241.0,1.0,18.0,19.1,58
559.0,241.0,1.0,16.0,16.2,65
559.0,241.0,1.0,16.0,18.5,81
559.0,241.0,1.0,18.0,17.2,83
70.0,168.0,1.0,17.0,124.6,86
77.0,169.0,1.0,15.0,59.4,92
559.0,241.0,1.0,21.0,18.1,99
559.0,241.0,1.0,21.0,17.9,101
559.0,241.0,1.0,16.0,17.2,111
559.0,241.0,1.0,15.0,17.6,115
559.0,241.0,1.0,17.0,15.4,131
77.0,169.0,1.0,16.0,68.2,135
559.0,241.0,1.0,19.0,18.9,135
84.0,269.0,1.0,16.0,131.2,135
559.0,241.0,1.0,16.0,16.8,142
559.0,241.0,1.0,15.0,18.9,143
84.0,269.0,1.0,15.0,134.7,154
559.0,241.0,1.0,17.0,18.9,171
559.0,241.0,1.0,16.0,18.4,178
559.0,241.0,1.0,16.0,18.1,180
559.0,241.0,1.0,16.0,18.4,181
70.0,168.0,1.0,16.0,120.1,200
559.0,241.0,1.0,22.0,18.7,208
559.0,241.0,1.0,17.0,16.6,209
559.0,241.0,1.0,17.0,14.9,224
559.0,241.0,1.0,17.0,14.5,229
559.0,241.0,1.0,19.0,15.0,250
559.0,241.0,1.0,17.0,15.2,254
559.0,241.0,1.0,17.0,16.2,263
559.0,241.0,1.0,19.0,16.7,264
559.0,241.0,1.0,21.0,20.8,265
559.0,241.0,1.0,16.0,16.5,277
559.0,241.0,1.0,15.0,17.9,280
559.0,241.0,1.0,15.0,17.4,284
559.0,241.0,1.0,19.0,18.2,302
559.0,241.0,1.0,16.0,15.4,303
559.0,241.0,1.0,19.0,16.3,304
559.0,241.0,1.0,16.0,16.7,305
71.0,166.0,1.0,15.0,113.9,326
559.0,241.0,1.0,20.0,16.7,334
559.0,241.0,1.0,19.0,19.6,337
559.0,241.0,1.0,16.0,15.2,344
559.0,241.0,1.0,16.0,18.4,352
559.0,241.0,1.0,17.0,15.8,357
559.0,241.0,1.0,20.0,16.1,372
559.0,241.0,1.0,20.0,16.5,373
559.0,241.0,1.0,17.0,15.6,387
559.0,241.0,1.0,17.0,18.5,396
635.0,0.0,1.0,21.0,23.3,407
634.64,0.0,2.0,37.0,38.4,408
634.41,0.55,5.0,36.0,33.4,409
633.53,1.47,4.0,29.0,24.8,410
633.22,2.29,3.0,39.0,35.1,411
