nr,datetime
0,2022-06-22 21:53:59.844088000
1,2022-06-22 21:53:59.877421400
2,2022-06-22 21:53:59.910754800
3,2022-06-22 21:53:59.944088200
4,2022-06-22 21:53:59.977421600
5,2022-06-22 21:54:00.010755000
6,2022-06-22 21:54:00.044088400
7,2022-06-22 21:54:00.077421800
8,2022-06-22 21:54:00.110755200
9,2022-06-22 21:54:00.144088600
10,2022-06-22 21:54:00.177422000
11,2022-06-22 21:54:00.210755400
12,2022-06-22 21:54:00.244088800
13,2022-06-22 21:54:00.277422200
14,2022-06-22 21:54:00.310755600
15,2022-06-22 21:54:00.344089000
16,2022-06-22 21:54:00.377422400
17,2022-06-22 21:54:00.410755800
18,2022-06-22 21:54:00.444089200
19,2022-06-22 21:54:00.477422600
20,2022-06-22 21:54:00.510756000
21,2022-06-22 21:54:00.544089400
22,2022-06-22 21:54:00.577422800
23,2022-06-22 21:54:00.610756200
24,2022-06-22 21:54:00.644089600
25,2022-06-22 21:54:00.677423000
26,2022-06-22 21:54:00.710756400
27,2022-06-22 21:54:00.744089800
28,2022-06-22 21:54:00.777423200
29,2022-06-22 21:54:00.810756600
30,2022-06-22 21:54:00.844090000
31,2022-06-22 21:54:00.877423400
32,2022-06-22 21:54:00.910756800
33,2022-06-22 21:54:00.944090200
34,2022-06-22 21:54:00.977423600
35,2022-06-22 21:54:01.010757000
36,2022-06-22 21:54:01.044090400
37,2022-06-22 21:54:01.077423800
38,2022-06-22 21:54:01.110757200
39,2022-06-22 21:54:01.144090600
40,2022-06-22 21:54:01.177424000
41,2022-06-22 21:54:01.210757400
42,2022-06-22 21:54:01.244090800
43,2022-06-22 21:54:01.277424200
44,2022-06-22 21:54:01.310757600
45,2022-06-22 21:54:01.344091000
46,2022-06-22 21:54:01.377424400
47,2022-06-22 21:54:01.410757800
48,2022-06-22 21:54:01.444091200
49,2022-06-22 21:54:01.477424600
50,2022-06-22 21:54:01.510758000
51,2022-06-22 21:54:01.544091400
52,2022-06-22 21:54:01.577424800
53,2022-06-22 21:54:01.610758200
54,2022-06-22 21:54:01.644091600
55,2022-06-22 21:54:01.677425000
56,2022-06-22 21:54:01.710758400
57,2022-06-22 21:54:01.744091800
58,2022-06-22 21:54:01.777425200
59,2022-06-22 21:54:01.810758600
60,2022-06-22 21:54:01.844092000
61,2022-06-22 21:54:01.877425400
62,2022-06-22 21:54:01.910758800
63,2022-06-22 21:54:01.944092200
64,2022-06-22 21:54:01.977425600
65,2022-06-22 21:54:02.010759000
66,2022-06-22 21:54:02.044092400
67,2022-06-22 21:54:02.077425800
68,2022-06-22 21:54:02.110759200
69,2022-06-22 21:54:02.144092600
70,2022-06-22 21:54:02.177426000
71,2022-06-22 21:54:02.210759400
72,2022-06-22 21:54:02.244092800
73,2022-06-22 21:54:02.277426200
74,2022-06-22 21:54:02.310759600
75,2022-06-22 21:54:02.344093000
76,2022-06-22 21:54:02.377426400
77,2022-06-22 21:54:02.410759800
78,2022-06-22 21:54:02.444093200
79,2022-06-22 21:54:02.477426600
80,2022-06-22 21:54:02.510760000
81,2022-06-22 21:54:02.544093400
82,2022-06-22 21:54:02.577426800
83,2022-06-22 21:54:02.610760200
84,2022-06-22 21:54:02.644093600
85,2022-06-22 21:54:02.677427000
86,2022-06-22 21:54:02.710760400
87,2022-06-22 21:54:02.744093800
88,2022-06-22 21:54:02.777427200
89,2022-06-22 21:54:02.810760600
90,2022-06-22 21:54:02.844094000
91,2022-06-22 21:54:02.877427400
92,2022-06-22 21:54:02.910760800
93,2022-06-22 21:54:02.944094200
94,2022-06-22 21:54:02.977427600
95,2022-06-22 21:54:03.010761000
96,2022-06-22 21:54:03.044094400
97,2022-06-22 21:54:03.077427800
98,2022-06-22 21:54:03.110761200
99,2022-06-22 21:54:03.144094600
100,2022-06-22 21:54:03.177428000
101,2022-06-22 21:54:03.210761400
102,2022-06-22 21:54:03.244094800
103,2022-06-22 21:54:03.277428200
104,2022-06-22 21:54:03.310761600
105,2022-06-22 21:54:03.344095000
106,2022-06-22 21:54:03.377428400
107,2022-06-22 21:54:03.410761800
108,2022-06-22 21:54:03.444095200
109,2022-06-22 21:54:03.477428600
110,2022-06-22 21:54:03.510762000
111,2022-06-22 21:54:03.544095400
112,2022-06-22 21:54:03.577428800
113,2022-06-22 21:54:03.610762200
114,2022-06-22 21:54:03.644095600
115,2022-06-22 21:54:03.677429000
116,2022-06-22 21:54:03.710762400
117,2022-06-22 21:54:03.744095800
118,2022-06-22 21:54:03.777429200
119,2022-06-22 21:54:03.810762600
120,2022-06-22 21:54:03.844096000
121,2022-06-22 21:54:03.877429400
122,2022-06-22 21:54:03.910762800
123,2022-06-22 21:54:03.944096200
124,2022-06-22 21:54:03.977429600
125,2022-06-22 21:54:04.010763000
126,2022-06-22 21:54:04.044096400
127,2022-06-22 21:54:04.077429800
128,2022-06-22 21:54:04.110763200
129,2022-06-22 21:54:04.144096600
130,2022-06-22 21:54:04.177430000
131,2022-06-22 21:54:04.210763400
132,2022-06-22 21:54:04.244096800
133,2022-06-22 21:54:04.277430200
134,2022-06-22 21:54:04.310763600
135,2022-06-22 21:54:04.344097000
136,2022-06-22 21:54:04.377430400
137,2022-06-22 21:54:04.410763800
138,2022-06-22 21:54:04.444097200
139,2022-06-22 21:54:04.477430600
140,2022-06-22 21:54:04.510764000
141,2022-06-22 21:54:04.544097400
142,2022-06-22 21:54:04.577430800
143,2022-06-22 21:54:04.610764200
144,2022-06-22 21:54:04.644097600
145,2022-06-22 21:54:04.677431000
146,2022-06-22 21:54:04.710764400
147,2022-06-22 21:54:04.744097800
148,2022-06-22 21:54:04.777431200
149,2022-06-22 21:54:04.810764600
150,2022-06-22 21:54:04.844098000
151,2022-06-22 21:54:04.877431400
152,2022-06-22 21:54:04.910764800
153,2022-06-22 21:54:04.944098200
154,2022-06-22 21:54:04.977431600
155,2022-06-22 21:54:05.010765000
156,2022-06-22 21:54:05.044098400
157,2022-06-22 21:54:05.077431800
158,2022-06-22 21:54:05.110765200
159,2022-06-22 21:54:05.144098600
160,2022-06-22 21:54:05.177432000
161,2022-06-22 21:54:05.210765400
162,2022-06-22 21:54:05.244098800
163,2022-06-22 21:54:05.277432200
164,2022-06-22 21:54:05.310765600
165,2022-06-22 21:54:05.344099000
166,2022-06-22 21:54:05.377432400
167,2022-06-22 21:54:05.410765800
168,2022-06-22 21:54:05.444099200
169,2022-06-22 21:54:05.477432600
170,2022-06-22 21:54:05.510766000
171,2022-06-22 21:54:05.544099400
172,2022-06-22 21:54:05.577432800
173,2022-06-22 21:54:05.610766200
174,2022-06-22 21:54:05.644099600
175,2022-06-22 21:54:05.677433000
176,2022-06-22 21:54:05.710766400
177,2022-06-22 21:54:05.744099800
178,2022-06-22 21:54:05.777433200
179,2022-06-22 21:54:05.810766600
