nr,datetime,x1,y1,x2,y2
1941,2022-06-22 21:55:04.544217399,448.62,216.97,458.07,363.32
3466,2022-06-22 21:55:55.377652400,302.4,343.41,311.53,445.27
4688,2022-06-22 21:56:36.111067200,327.11,69.19,339.54,150.39
5245,2022-06-22 21:56:54.677771,205.91,329.12,216.22,406.79
6937,2022-06-22 21:57:51.077883800,264.94,311.74,273.87,375.74
