nr,datetime
0,2021-08-11 13:52:50.166085000
1,2021-08-11 13:52:50.199418400
2,2021-08-11 13:52:50.232751800
3,2021-08-11 13:52:50.266085200
4,2021-08-11 13:52:50.299418600
5,2021-08-11 13:52:50.332752000
6,2021-08-11 13:52:50.366085400
7,2021-08-11 13:52:50.399418800
8,2021-08-11 13:52:50.432752200
9,2021-08-11 13:52:50.466085600
10,2021-08-11 13:52:50.499419000
11,2021-08-11 13:52:50.532752400
12,2021-08-11 13:52:50.566085800
13,2021-08-11 13:52:50.599419200
14,2021-08-11 13:52:50.632752600
15,2021-08-11 13:52:50.666086000
16,2021-08-11 13:52:50.699419400
17,2021-08-11 13:52:50.732752800
18,2021-08-11 13:52:50.766086200
19,2021-08-11 13:52:50.799419600
20,2021-08-11 13:52:50.832753000
21,2021-08-11 13:52:50.866086400
22,2021-08-11 13:52:50.899419800
23,2021-08-11 13:52:50.932753200
24,2021-08-11 13:52:50.966086600
25,2021-08-11 13:52:50.999420000
26,2021-08-11 13:52:51.032753400
27,2021-08-11 13:52:51.066086800
28,2021-08-11 13:52:51.099420200
29,2021-08-11 13:52:51.132753600
30,2021-08-11 13:52:51.166087000
31,2021-08-11 13:52:51.199420400
32,2021-08-11 13:52:51.232753800
33,2021-08-11 13:52:51.266087200
34,2021-08-11 13:52:51.299420600
35,2021-08-11 13:52:51.332754000
36,2021-08-11 13:52:51.366087400
37,2021-08-11 13:52:51.399420800
38,2021-08-11 13:52:51.432754200
39,2021-08-11 13:52:51.466087600
40,2021-08-11 13:52:51.499421000
41,2021-08-11 13:52:51.532754400
42,2021-08-11 13:52:51.566087800
43,2021-08-11 13:52:51.599421200
44,2021-08-11 13:52:51.632754600
45,2021-08-11 13:52:51.666088000
46,2021-08-11 13:52:51.699421400
47,2021-08-11 13:52:51.732754800
48,2021-08-11 13:52:51.766088200
49,2021-08-11 13:52:51.799421600
50,2021-08-11 13:52:51.832755000
51,2021-08-11 13:52:51.866088400
52,2021-08-11 13:52:51.899421800
53,2021-08-11 13:52:51.932755200
54,2021-08-11 13:52:51.966088600
55,2021-08-11 13:39:42.763300200
56,2021-08-11 13:39:42.763300200
57,2021-08-11 13:39:42.763300200
58,2021-08-11 13:39:42.763300200
59,2021-08-11 13:39:42.763300200
60,2021-08-11 13:39:42.763300200
61,2021-08-11 13:39:42.763300200
62,2021-08-11 13:39:42.763300200
63,2021-08-11 13:39:42.763300200
64,2021-08-11 13:39:42.763300200
65,2021-08-11 13:39:42.763300200
66,2021-08-11 13:39:42.763300200
67,2021-08-11 13:39:42.763300200
68,2021-08-11 13:39:42.763300200
69,2021-08-11 13:39:42.763300200
70,2021-08-11 13:39:42.763300200
71,2021-08-11 13:39:42.763300200
72,2021-08-11 13:39:42.763300200
73,2021-08-11 13:39:42.763300200
74,2021-08-11 13:39:42.763300200
75,2021-08-11 13:39:42.763300200
76,2021-08-11 13:39:42.763300200
77,2021-08-11 13:39:42.763300200
78,2021-08-11 13:39:42.763300200
79,2021-08-11 13:52:52.799423600
80,2021-08-11 13:52:52.832757000
81,2021-08-11 13:52:52.866090400
82,2021-08-11 13:52:52.899423800
83,2021-08-11 13:52:52.932757200
84,2021-08-11 13:52:52.966090600
85,2021-08-11 13:52:52.999424000
86,2021-08-11 13:52:53.032757400
87,2021-08-11 13:52:53.066090800
88,2021-08-11 13:52:53.099424200
89,2021-08-11 13:52:53.132757600
90,2021-08-11 13:52:53.166091000
91,2021-08-11 13:52:53.199424400
92,2021-08-11 13:52:53.232757800
93,2021-08-11 13:52:53.266091200
94,2021-08-11 13:52:53.299424600
95,2021-08-11 13:52:53.332758000
96,2021-08-11 13:52:53.366091400
97,2021-08-11 13:52:53.399424800
98,2021-08-11 13:52:53.432758200
99,2021-08-11 13:52:53.466091600
100,2021-08-11 13:52:53.499425000
101,2021-08-11 13:52:53.532758400
102,2021-08-11 13:52:53.566091800
103,2021-08-11 13:52:53.599425200
104,2021-08-11 13:52:53.632758600
105,2021-08-11 13:52:53.666092000
106,2021-08-11 13:52:53.699425400
107,2021-08-11 13:52:53.732758800
108,2021-08-11 13:52:53.766092200
109,2021-08-11 13:52:53.799425600
110,2021-08-11 13:52:53.832759000
111,2021-08-11 13:52:53.866092400
112,2021-08-11 13:52:53.899425800
113,2021-08-11 13:52:53.932759200
114,2021-08-11 13:52:53.966092600
115,2021-08-11 13:52:53.999426000
116,2021-08-11 13:52:54.032759400
117,2021-08-11 13:52:54.066092800
118,2021-08-11 13:52:54.099426200
119,2021-08-11 13:52:54.132759600
120,2021-08-11 13:52:54.166093000
121,2021-08-11 13:52:54.199426400
