x,y,area,max_scoreImg,max_innerToRing,nr
175.0,196.0,1.0,14.0,11.8,10
559.0,241.0,1.0,18.0,13.8,10
176.0,196.0,1.0,14.0,12.1,14
559.0,241.0,1.0,17.0,16.1,15
178.0,197.0,1.0,16.0,14.3,21
559.0,241.0,1.0,17.0,15.7,21
559.0,241.0,1.0,17.0,14.7,23
179.0,198.0,1.0,14.0,12.1,24
179.0,198.0,1.0,17.0,14.9,25
559.0,241.0,1.0,16.0,12.4,25
180.0,199.0,1.0,14.0,12.2,28
213.79,226.35,3.0,32.0,11.7,30
181.0,200.0,1.0,14.0,10.9,31
213.0,226.0,1.0,21.0,23.0,31
181.0,200.0,1.0,14.0,12.2,32
211.0,225.55,2.0,32.0,15.6,34
182.0,202.0,1.0,14.0,12.0,37
559.0,241.0,1.0,14.0,15.0,38
183.0,203.0,1.0,20.0,17.4,39
559.0,241.0,1.0,14.0,15.3,39
184.0,204.0,1.0,18.0,15.9,41
184.0,204.42,2.0,19.0,17.1,42
184.5,205.0,2.0,15.0,15.0,43
203.0,223.45,2.0,17.0,14.4,43
185.0,205.41,2.0,20.0,17.9,44
185.0,206.0,1.0,24.0,25.1,45
186.0,206.45,2.0,18.0,16.9,46
186.0,207.0,1.0,26.0,23.4,47
186.5,207.5,4.0,18.0,17.3,48
186.65,208.0,2.0,28.0,26.2,49
187.0,208.63,2.0,24.0,21.0,50
187.39,209.29,3.0,22.0,19.7,51
187.98,210.0,3.0,29.0,26.7,52
188.0,210.58,2.0,23.0,19.7,53
187.17,215.55,6.0,20.0,14.1,57
186.32,215.32,4.0,21.0,16.9,58
179.0,213.0,1.0,22.0,17.2,63
322.0,479.0,1.0,15.0,12.7,64
176.0,212.0,1.0,16.0,13.3,65
187.0,217.0,1.0,14.0,16.5,65
175.0,211.0,1.0,17.0,14.9,66
187.0,218.0,1.0,17.0,9.9,66
322.0,479.0,1.0,15.0,14.2,66
559.0,241.0,1.0,18.0,17.1,68
516.0,123.0,1.0,14.0,13.5,69
171.0,209.0,1.0,15.0,13.4,69
170.0,208.0,1.0,17.0,14.1,70
322.0,479.0,1.0,14.0,16.8,70
169.0,207.0,1.0,15.0,12.6,71
322.0,479.0,1.0,14.0,17.0,71
559.0,241.0,1.0,14.0,15.8,72
321.48,479.0,2.0,16.0,13.0,72
320.96,479.0,3.0,18.0,10.6,75
321.42,479.0,4.0,20.0,14.3,78
320.55,479.0,2.0,18.0,14.3,80
320.62,478.69,3.0,17.0,13.6,81
320.48,479.0,2.0,15.0,15.4,82
320.98,478.66,3.0,15.0,14.9,83
320.0,478.5,2.0,14.0,19.1,87
321.94,478.11,3.0,17.0,10.4,88
320.6,478.2,6.0,19.0,22.6,90
321.06,478.11,4.0,17.0,21.4,91
320.98,478.1,4.0,16.0,21.2,92
320.35,478.16,5.0,16.0,23.9,93
559.0,241.0,1.0,16.0,17.8,94
319.98,478.17,4.0,15.0,23.4,94
319.92,478.08,4.0,19.0,22.9,96
157.0,213.0,1.0,14.0,12.7,97
559.0,241.0,1.0,16.0,15.4,97
319.79,478.09,5.0,21.0,18.0,98
321.06,477.54,3.0,16.0,13.5,104
320.05,477.38,7.0,17.0,21.1,106
559.0,241.0,1.0,15.0,11.5,110
559.0,241.0,1.0,15.0,14.2,118
559.0,241.0,1.0,15.0,13.3,122
383.0,213.5,2.0,15.0,12.9,124
390.0,173.0,1.0,16.0,10.8,126
404.0,84.94,3.0,19.0,12.9,130
409.0,41.04,3.0,16.0,12.0,132
411.0,19.84,5.0,19.0,12.6,133
559.0,241.0,1.0,16.0,15.4,142
559.0,241.0,1.0,17.0,13.1,153
559.0,241.0,1.0,16.0,15.2,156
262.48,479.0,2.0,16.0,45.0,161
262.0,479.0,1.0,14.0,25.6,162
262.0,479.0,1.0,14.0,30.4,165
559.0,241.0,1.0,17.0,16.2,171
559.0,241.0,1.0,14.0,13.4,172
559.0,241.0,1.0,15.0,13.8,182
125.0,60.0,1.0,15.0,12.5,190
501.84,477.92,25.0,64.0,57.1,190
125.0,59.0,1.0,20.0,18.3,191
126.0,56.0,1.0,19.0,16.7,193
118.0,48.0,1.0,15.0,11.5,195
559.0,241.0,1.0,16.0,13.0,195
559.0,241.0,1.0,16.0,12.6,196
118.0,45.0,1.0,15.0,12.1,197
559.0,241.0,1.0,16.0,12.8,197
127.0,49.0,1.0,18.0,16.0,198
559.0,241.0,1.0,14.0,11.7,198
127.0,46.0,1.0,15.0,12.7,200
117.0,39.0,1.0,15.0,15.0,202
127.0,42.0,1.0,16.0,13.5,203
127.0,41.0,1.0,15.0,12.7,204
116.0,33.0,1.0,14.0,11.3,207
126.0,35.0,1.0,14.0,12.2,208
116.0,30.0,1.0,16.0,11.6,209
116.0,29.0,1.0,18.0,14.1,210
125.0,32.44,2.0,18.0,16.2,210
116.0,28.0,1.0,15.0,13.0,211
125.0,30.69,2.0,34.0,31.9,211
124.26,29.73,3.0,33.0,30.7,212
124.0,29.0,1.0,20.0,19.6,213
124.0,27.0,1.0,17.0,13.6,214
559.0,241.0,1.0,21.0,16.5,216
122.0,22.0,1.0,23.0,21.8,218
114.0,17.0,1.0,20.0,18.0,220
559.0,241.0,1.0,15.0,16.8,220
113.0,12.0,1.0,19.0,16.2,224
519.29,141.53,5.0,23.0,13.3,224
113.0,11.0,1.0,24.0,21.3,225
513.52,138.67,12.0,27.0,20.5,225
113.0,10.0,1.0,20.0,16.0,226
509.5,141.01,11.0,30.0,22.8,226
509.09,145.95,11.0,23.0,15.9,227
120.0,9.0,1.0,14.0,10.9,228
112.0,6.48,2.0,16.0,14.4,229
112.0,5.0,1.0,19.0,15.2,230
112.0,4.0,1.0,17.0,15.3,231
111.0,3.0,1.0,14.0,14.5,232
111.0,2.0,1.0,17.0,17.3,233
559.0,241.0,1.0,14.0,12.7,233
111.0,1.0,1.0,20.0,18.1,234
111.0,0.0,1.0,14.0,12.5,235
631.7,1.5,47.0,45.0,35.5,239
266.0,479.0,1.0,15.0,10.4,247
266.0,479.0,1.0,15.0,13.4,248
266.0,479.0,1.0,14.0,19.7,251
559.0,241.0,1.0,16.0,12.2,261
559.0,241.0,1.0,17.0,13.2,263
559.0,241.0,1.0,15.0,14.9,269
559.0,241.0,1.0,14.0,12.3,271
559.0,241.0,1.0,15.0,12.5,292
559.0,241.0,1.0,14.0,13.7,305
559.0,241.0,1.0,18.0,17.8,307
559.0,241.0,1.0,17.0,13.2,340
559.0,241.0,1.0,16.0,14.3,353
559.0,241.0,1.0,14.0,15.5,354
559.0,241.0,1.0,16.0,10.9,378
559.0,241.0,1.0,16.0,14.8,382
559.0,241.0,1.0,15.0,14.4,394
559.0,241.0,1.0,15.0,14.8,397
559.0,241.0,1.0,15.0,14.3,398
94.0,0.0,1.0,14.0,10.8,407
93.0,2.0,1.0,15.0,11.7,410
559.0,241.0,1.0,15.0,12.6,414
559.0,241.0,1.0,17.0,12.6,415
92.0,6.0,1.0,17.0,13.1,416
92.0,7.0,1.0,15.0,12.1,417
559.0,241.0,1.0,14.0,12.9,438
559.0,241.0,1.0,15.0,12.9,448
559.0,241.0,1.0,17.0,17.0,453
559.0,241.0,1.0,17.0,17.4,454
559.0,241.0,1.0,15.0,12.8,464
559.0,241.0,1.0,16.0,19.2,481
559.0,241.0,1.0,15.0,12.1,492
559.0,241.0,1.0,18.0,17.1,497
559.0,241.0,1.0,15.0,16.1,504
559.0,241.0,1.0,17.0,14.5,517
559.0,241.0,1.0,17.0,14.9,519
395.39,467.32,34.0,49.0,29.0,520
535.8,149.82,57.0,36.0,20.4,527
580.43,43.37,60.0,45.0,31.8,529
559.0,241.0,1.0,14.0,16.3,532
559.0,241.0,1.0,16.0,16.1,533
559.0,241.0,1.0,14.0,9.6,535
559.0,241.0,1.0,19.0,17.5,558
559.0,241.0,1.0,15.0,15.2,568
559.0,241.0,1.0,14.0,14.2,578
440.03,2.35,36.0,34.0,42.6,612
564.0,453.0,1.0,14.0,12.4,612
439.88,2.42,40.0,33.0,42.4,613
564.0,453.0,1.0,14.0,12.9,613
564.0,453.0,1.0,14.0,12.2,614
439.99,2.52,28.0,28.0,23.0,615
467.97,393.05,34.0,44.0,13.7,615
508.99,395.09,5.0,19.0,15.5,615
303.44,449.44,2.0,18.0,23.1,616
441.54,0.93,6.0,22.0,27.8,617
390.0,196.0,1.0,16.0,9.4,617
497.68,267.68,3.0,16.0,22.8,617
559.0,241.0,1.0,18.0,14.6,621
559.0,241.0,1.0,17.0,16.7,630
559.0,241.0,1.0,15.0,13.3,642
559.0,241.0,1.0,18.0,17.7,649
559.0,241.0,1.0,19.0,15.4,651
559.0,241.0,1.0,14.0,13.9,652
559.0,241.0,1.0,16.0,16.4,669
559.0,241.0,1.0,17.0,17.9,671
559.0,241.0,1.0,14.0,18.1,672
559.0,241.0,1.0,15.0,17.5,682
559.0,241.0,1.0,18.0,18.1,683
559.0,241.0,1.0,17.0,15.1,685
559.0,241.0,1.0,19.0,16.6,701
559.0,241.0,1.0,17.0,16.6,710
559.0,241.0,1.0,17.0,18.5,715
559.0,241.0,1.0,14.0,15.6,720
559.0,241.0,1.0,18.0,18.3,725
559.0,241.0,1.0,16.0,15.5,731
559.0,241.0,1.0,17.0,16.7,735
559.0,241.0,1.0,16.0,17.3,751
559.0,241.0,1.0,19.0,16.5,777
559.0,241.0,1.0,14.0,14.8,790
247.51,46.44,28.0,22.0,12.7,791
262.52,269.44,52.0,40.0,10.8,797
261.21,403.42,53.0,95.0,89.7,802
559.0,241.0,1.0,16.0,14.8,803
255.9,423.56,50.0,102.0,94.2,803
247.91,441.07,42.0,97.0,60.1,804
237.02,456.55,43.0,83.0,40.4,805
223.86,470.54,34.0,76.0,45.3,806
214.53,478.62,5.0,22.0,16.2,807
559.0,241.0,1.0,15.0,13.1,822
559.0,241.0,1.0,17.0,16.6,826
559.0,241.0,1.0,14.0,16.5,836
361.0,86.5,2.0,18.0,12.0,840
363.0,97.62,2.0,23.0,16.4,841
364.0,109.0,1.0,17.0,13.2,842
368.0,235.52,2.0,17.0,12.4,853
368.0,247.0,1.0,20.0,13.3,854
559.0,241.0,1.0,17.0,15.8,856
559.0,241.0,1.0,17.0,15.8,857
354.0,428.0,1.0,16.0,9.9,869
559.0,241.0,1.0,14.0,14.1,882
559.0,241.0,1.0,17.0,14.2,883
559.0,241.0,1.0,15.0,15.2,885
559.0,241.0,1.0,17.0,19.6,886
479.33,473.98,3.0,18.0,14.1,902
489.0,457.0,1.0,20.0,11.3,903
498.27,439.45,3.0,23.0,15.5,904
507.37,420.98,3.0,19.0,10.1,905
516.52,401.49,4.0,19.0,12.9,906
544.0,335.5,2.0,18.0,9.1,909
553.0,311.52,2.0,22.0,16.1,910
581.78,237.48,4.0,19.0,12.6,913
603.0,185.5,2.0,21.0,10.2,915
559.0,241.0,1.0,18.0,15.7,916
559.0,241.0,1.0,16.0,15.5,919
559.0,241.0,1.0,19.0,17.8,936
559.0,241.0,1.0,15.0,15.3,939
559.0,241.0,1.0,18.0,18.4,946
559.0,241.0,1.0,15.0,15.5,947
559.0,241.0,1.0,14.0,14.1,949
559.0,241.0,1.0,15.0,13.8,958
347.0,24.0,1.0,15.0,10.3,960
559.0,241.0,1.0,14.0,14.2,967
559.0,241.0,1.0,17.0,11.0,968
559.0,241.0,1.0,15.0,15.7,970
13.0,2.52,2.0,17.0,14.6,971
559.0,241.0,1.0,15.0,18.0,988
559.0,241.0,1.0,14.0,15.9,989
559.0,241.0,1.0,20.0,17.1,1014
559.0,241.0,1.0,14.0,11.5,1015
559.0,241.0,1.0,14.0,14.2,1017
559.0,241.0,1.0,16.0,17.7,1018
559.0,241.0,1.0,16.0,17.7,1019
