,nr,datetime,x1,y1,x2,y2,lat,lon,height
0,2671,2021-08-11 13:54:19.199596399,14.3,285.14,0.0,273.5,48.66520753323397,9.836363320580258,18.4
1,2672,2021-08-11 13:54:19.232929800,15.07,285.15,0.13,272.93,48.66520753323397,9.836363320580258,18.4
2,2673,2021-08-11 13:54:19.266263200,15.94,285.0,0.5,272.76,48.66520746098632,9.836363289842678,18.6
3,2675,2021-08-11 13:54:19.332930000,17.6,284.87,2.03,272.8,48.66520746098632,9.836363289842678,18.6
4,2676,2021-08-11 13:54:19.366263400,18.37,285.0,2.75,272.74,48.665207373068,9.83636331494724,18.8
5,2677,2021-08-11 13:54:19.399596800,19.3,284.84,3.57,272.74,48.665207373068,9.83636331494724,18.8
6,2678,2021-08-11 13:54:19.432930200,19.85,284.96,4.51,272.82,48.665207373068,9.83636331494724,18.8
7,2680,2021-08-11 13:54:19.499597000,21.65,284.82,6.1,272.89,48.66520730059654,9.836363283951885,19.0
8,2681,2021-08-11 13:54:19.532930400,22.15,284.91,6.91,272.75,48.66520730059654,9.836363283951885,19.0
9,2682,2021-08-11 13:54:19.566263800,23.45,284.75,7.71,272.94,48.66520745863063,9.836363036718568,19.3
10,2683,2021-08-11 13:54:19.599597200,24.39,284.72,8.55,272.8,48.66520745863063,9.836363036718568,19.3
11,2684,2021-08-11 13:54:19.632930600,25.33,284.73,9.34,272.96,48.66520745863063,9.836363036718568,19.3
12,2685,2021-08-11 13:54:19.666264000,26.03,284.82,10.16,272.85,48.66520741428922,9.836362981286596,19.5
13,2686,2021-08-11 13:54:19.699597399,26.89,284.95,10.97,273.02,48.66520741428922,9.836362981286596,19.5
14,2687,2021-08-11 13:54:19.732930800,27.58,284.71,11.77,272.92,48.66520741428922,9.836362981286596,19.5
15,2688,2021-08-11 13:54:19.766264200,28.49,284.73,12.46,273.0,48.66520737855353,9.83636306989369,19.7
16,2689,2021-08-11 13:54:19.799597599,29.42,284.73,13.33,272.87,48.66520737855353,9.83636306989369,19.7
17,2690,2021-08-11 13:54:19.832931000,30.12,284.86,14.21,273.0,48.66520737855353,9.83636306989369,19.7
18,2691,2021-08-11 13:54:19.866264400,31.01,284.84,14.97,272.94,48.66520733026099,9.836363017014769,19.9
19,2692,2021-08-11 13:54:19.899597800,31.92,284.97,15.7,273.05,48.66520733026099,9.836363017014769,19.9
20,2693,2021-08-11 13:54:19.932931200,32.81,284.85,16.71,273.13,48.66520733026099,9.836363017014769,19.9
21,2694,2021-08-11 13:54:19.966264600,33.57,284.83,17.63,273.15,48.66520726406743,9.836362930797383,20.1
22,2695,2021-08-11 13:54:19.999598000,34.5,284.88,18.34,273.14,48.66520726406743,9.836362930797383,20.1
23,2696,2021-08-11 13:54:20.032931400,35.34,284.88,19.23,273.21,48.66520726406743,9.836362930797383,20.1
24,2697,2021-08-11 13:54:20.066264800,36.08,284.98,19.92,273.18,48.66520719715323,9.836362863452102,20.3
25,2698,2021-08-11 13:54:20.099598200,36.96,284.98,20.76,273.15,48.66520719715323,9.836362863452102,20.3
26,2699,2021-08-11 13:54:20.132931600,37.86,284.95,21.68,273.24,48.66520719715323,9.836362863452102,20.3
27,2700,2021-08-11 13:54:20.166265000,38.77,284.97,22.46,273.16,48.6652068191585,9.836363086165308,20.6
28,2701,2021-08-11 13:54:20.199598399,39.49,284.76,23.25,273.33,48.6652068191585,9.836363086165308,20.6
29,2702,2021-08-11 13:54:20.232931800,40.41,284.76,24.18,273.24,48.6652068191585,9.836363086165308,20.6
30,2703,2021-08-11 13:54:20.266265200,41.22,284.76,24.96,273.34,48.66520672991675,9.836363050417676,20.8
