x,y,area,max_scoreImg,max_innerToRing,nr
405.1,457.19,52.0,22.0,10.9,10
58.06,326.57,56.0,22.0,15.2,12
0.0,404.49,6.0,17.0,13.2,12
490.22,478.75,8.0,16.0,10.0,12
529.41,0.0,6.0,18.0,11.9,13
202.2,166.37,26.0,17.0,9.6,13
210.73,270.34,33.0,23.0,17.0,13
90.46,316.01,23.0,19.0,14.8,13
0.44,400.26,35.0,36.0,34.5,13
405.57,428.82,9.0,18.0,10.4,13
387.2,460.16,49.0,20.0,10.9,13
528.41,0.57,15.0,33.0,27.4,14
620.22,10.91,8.0,22.0,13.3,14
82.31,104.69,43.0,29.0,17.9,14
203.94,166.44,38.0,43.0,38.3,14
522.99,196.02,8.0,19.0,15.6,14
450.72,207.99,7.0,16.0,11.4,14
212.27,269.75,29.0,47.0,44.3,14
91.62,315.99,34.0,46.0,38.8,14
544.57,422.8,21.0,19.0,11.9,14
490.66,478.22,35.0,56.0,53.2,14
527.61,0.82,26.0,34.0,34.4,15
619.12,11.74,18.0,20.0,14.4,15
359.92,15.15,8.0,19.0,17.4,15
483.0,81.0,1.0,14.0,13.5,15
204.15,166.87,30.0,73.0,73.3,15
604.96,179.03,7.0,18.0,9.4,15
522.12,196.37,13.0,26.0,16.5,15
282.0,199.0,1.0,16.0,14.3,15
450.16,208.1,12.0,23.0,14.6,15
396.33,231.4,7.0,20.0,18.4,15
212.27,270.11,23.0,71.0,67.3,15
91.97,316.14,27.0,68.0,61.9,15
530.0,397.0,1.0,16.0,13.3,15
257.89,418.75,5.0,20.0,10.9,15
544.19,422.51,22.0,21.0,15.7,15
489.32,478.06,40.0,56.0,55.6,15
526.7,1.34,41.0,42.0,39.8,16
618.37,13.1,23.0,23.0,15.8,16
482.0,81.0,1.0,18.0,15.9,16
82.97,105.78,27.0,59.0,54.5,16
204.06,167.2,23.0,92.0,94.9,16
418.0,190.0,1.0,14.0,15.8,16
521.73,197.0,14.0,24.0,19.4,16
449.66,208.33,13.0,27.0,17.0,16
92.2,316.14,24.0,73.0,68.9,16
529.36,397.32,3.0,17.0,14.4,16
543.06,422.44,23.0,19.0,9.1,16
258.07,419.18,8.0,20.0,9.9,16
489.6,478.17,38.0,62.0,65.0,16
525.89,1.55,47.0,39.0,45.8,17
617.9,13.39,23.0,24.0,19.9,17
482.17,81.43,5.0,20.0,22.8,17
83.15,105.87,23.0,60.0,51.2,17
609.0,107.47,2.0,16.0,9.4,17
204.27,167.38,20.0,93.0,100.2,17
521.36,196.84,12.0,20.0,17.0,17
282.0,200.0,1.0,14.0,12.4,17
449.34,208.4,10.0,24.0,16.5,17
92.43,316.14,23.0,66.0,67.5,17
564.0,334.0,1.0,15.0,12.8,17
529.34,397.34,3.0,15.0,14.2,17
405.44,427.86,14.0,20.0,12.5,17
490.04,478.13,36.0,55.0,65.6,17
525.67,1.64,47.0,37.0,48.7,18
618.15,13.85,19.0,21.0,16.5,18
481.81,81.26,5.0,21.0,21.1,18
83.11,105.85,20.0,55.0,55.9,18
204.39,167.42,20.0,84.0,100.3,18
603.84,180.21,9.0,22.0,16.7,18
418.0,190.0,1.0,14.0,14.0,18
