x,y,area,max_scoreImg,max_innerToRing,nr
200.81,450.06,10.0,25.0,16.1,10
227.85,451.85,11.0,25.0,17.1,11
132.86,455.64,5.0,23.0,13.5,11
253.21,444.85,14.0,23.0,16.9,12
125.48,454.52,4.0,17.0,9.4,12
272.22,448.37,15.0,31.0,26.4,13
115.0,452.0,1.0,20.0,10.8,13
291.92,447.38,12.0,28.0,23.8,14
1.81,376.97,10.0,19.0,9.7,15
310.67,433.85,13.0,31.0,21.9,15
320.64,414.59,15.0,34.0,28.2,16
80.0,440.0,1.0,18.0,11.0,16
328.93,411.96,18.0,46.0,42.5,17
71.7,436.37,3.0,17.0,9.4,17
67.65,432.83,5.0,22.0,15.1,18
67.53,429.02,4.0,20.0,12.4,19
334.0,479.0,1.0,22.0,9.6,20
73.5,420.32,4.0,21.0,16.2,21
78.61,415.81,5.0,20.0,15.0,22
84.22,411.86,8.0,21.0,14.2,23
86.82,418.52,5.0,20.0,14.3,24
86.7,427.52,6.0,21.0,13.9,25
370.0,155.44,2.0,18.0,9.8,36
9.0,326.0,1.0,15.0,11.0,36
48.56,103.0,2.0,19.0,17.1,49
54.44,100.59,4.0,26.0,22.2,50
57.78,102.19,6.0,25.0,22.7,51
279.0,81.0,1.0,15.0,10.6,63
268.0,57.0,1.0,15.0,11.9,64
11.0,345.0,1.0,14.0,9.6,64
148.59,448.89,14.0,20.0,9.7,64
9.56,320.0,2.0,20.0,14.8,66
7.68,322.68,3.0,18.0,14.2,67
613.0,253.0,1.0,16.0,12.9,75
116.63,476.84,5.0,17.0,10.5,77
461.82,113.27,5.0,21.0,11.3,78
13.0,428.0,1.0,16.0,10.0,78
115.39,429.25,21.0,19.0,11.8,79
257.53,12.34,17.0,38.0,30.2,84
299.95,45.55,19.0,37.0,28.4,85
345.67,82.48,17.0,28.0,12.6,86
391.71,112.45,31.0,39.0,31.1,87
152.84,419.16,8.0,22.0,12.8,89
147.42,424.87,9.0,22.0,14.0,90
143.47,437.53,6.0,18.0,11.4,91
171.02,473.55,4.0,20.0,12.9,94
