nr,datetime,x1,y1,x2,y2
1085,2022-06-26 20:48:01.317851,337.69,159.64,325.63,365.55
1198,2022-06-26 20:48:08.851199400,122.31,172.74,118.23,282.8
1606,2022-06-26 20:48:36.051253800,94.83,348.85,78.07,412.53
2078,2022-06-26 20:49:07.517983400,123.69,238.96,117.6,293.89
2258,2022-06-26 20:49:19.518007400,87.0,348.51,71.0,386.0
2631,2022-06-26 20:49:44.384723800,90.75,66.23,102.92,94.69
