datetime,lat,lon,height
2022-06-26 18:47:07.432,49.4221490717981,11.447865358956049,0.0
2022-06-26 18:47:07.532,49.42214911782237,11.447865282242857,0.0
2022-06-26 18:47:07.632,49.422149176015,11.447865121689524,0.0
2022-06-26 18:47:07.732,49.42214922324096,11.447865035000339,0.0
2022-06-26 18:47:07.832,49.42214928286514,11.447865039003739,0.0
2022-06-26 18:47:07.932,49.422149330931816,11.447864958437764,0.0
2022-06-26 18:47:08.032,49.422149226621826,11.447864968883314,0.0
2022-06-26 18:47:08.132,49.42214925973343,11.44786489423355,0.0
2022-06-26 18:47:08.232,49.42214933496886,11.447864886461732,0.0
2022-06-26 18:47:08.332,49.42214937053337,11.447864815865165,0.0
2022-06-26 18:47:08.432,49.42214944262239,11.447864800938829,0.0
2022-06-26 18:47:08.532,49.422149479204236,11.4478647344148,0.0
2022-06-26 18:47:08.632,49.42214954812115,11.447864558219477,0.0
2022-06-26 18:47:08.732,49.422149587046896,11.447864480356866,0.0
2022-06-26 18:47:08.832,49.422149654250234,11.447864476134116,0.0
2022-06-26 18:47:08.932,49.42214969553788,11.447864403214853,0.0
2022-06-26 18:47:09.032,49.422149609115564,11.447864392617856,0.0
2022-06-26 18:47:09.132,49.422149637847035,11.447864324385137,0.0
2022-06-26 18:47:09.232,49.422149723195574,11.447864306628276,0.0
2022-06-26 18:47:09.332,49.422149756340076,11.44786423830008,0.0
2022-06-26 18:47:09.432,49.422149845572946,11.447864212501022,0.0
2022-06-26 18:47:09.532,49.422149902978035,11.447864149180782,0.0
2022-06-26 18:47:09.632,49.42215000722945,11.447864108658688,0.0
2022-06-26 18:47:09.732,49.42215007307573,11.447864015196057,0.0
2022-06-26 18:47:09.832,49.422150192114124,11.447863934656407,0.0
2022-06-26 18:47:09.932,49.42215033359308,11.44786375552806,0.0
2022-06-26 18:47:10.032,49.42215050087091,11.44786329647073,0.0
2022-06-26 18:47:10.132,49.42215068240124,11.447863053454274,0.0
2022-06-26 18:47:10.232,49.42215090756246,11.447862716131155,0.0
2022-06-26 18:47:10.332,49.422151041591604,11.447862614370797,0.1
2022-06-26 18:47:10.432,49.422150929220955,11.447862610310203,0.1
2022-06-26 18:47:10.532,49.422151008885315,11.44786257911636,0.1
2022-06-26 18:47:10.632,49.42215091277405,11.447862240173825,0.1
2022-06-26 18:47:10.732,49.42215096778734,11.447862194001791,0.2
2022-06-26 18:47:10.832,49.42215106464654,11.447861955373083,0.2
2022-06-26 18:47:10.932,49.42215111845587,11.44786187914879,0.2
2022-06-26 18:47:11.032,49.42215128267149,11.44786184628535,0.30000000000000004
2022-06-26 18:47:11.132,49.422151339616335,11.447861780730076,0.30000000000000004
2022-06-26 18:47:11.232,49.42215149932251,11.447861925746365,0.4
2022-06-26 18:47:11.332,49.42215155668342,11.447861892724893,0.5
2022-06-26 18:47:11.432,49.422151395800114,11.447861722904642,0.5
2022-06-26 18:47:11.532,49.422151435674195,11.447861660874148,0.6000000000000001
2022-06-26 18:47:11.632,49.422152107022406,11.447861295978646,0.7000000000000001
2022-06-26 18:47:11.732,49.4221522026217,11.447861213359944,0.7000000000000001
2022-06-26 18:47:11.832,49.42215264345205,11.447859496126886,0.8
2022-06-26 18:47:11.932,49.42215277673756,11.447859242664235,0.8
2022-06-26 18:47:12.032,49.42215315324192,11.4478591807428,0.9
2022-06-26 18:47:12.132,49.4221533187129,11.447858904536528,1.0
2022-06-26 18:47:12.232,49.42215382180096,11.44785893695119,1.0
2022-06-26 18:47:12.332,49.422154021720516,11.447858648939661,1.1
2022-06-26 18:47:12.432,49.42215440520414,11.447857828858952,1.1
2022-06-26 18:47:12.532,49.422154624329316,11.447857466848195,1.1
2022-06-26 18:47:12.632,49.42215480587029,11.44785726658005,1.1
2022-06-26 18:47:12.732,49.422155025782494,11.447856897746986,1.2000000000000002
2022-06-26 18:47:12.832,49.422155201642454,11.447856770180351,1.2000000000000002
2022-06-26 18:47:12.932,49.42215542213891,11.447856398122997,1.2000000000000002
2022-06-26 18:47:13.032,49.42215575298999,11.447855819409773,1.2000000000000002
2022-06-26 18:47:13.132,49.42215598502154,11.447855407979207,1.2000000000000002
2022-06-26 18:47:13.232,49.422155979847936,11.44785551865824,1.2000000000000002
2022-06-26 18:47:13.332,49.42215619222761,11.447855139475205,1.1
2022-06-26 18:47:13.432,49.42215621102554,11.447855387231524,1.1
2022-06-26 18:47:13.532,49.42215640293352,11.447855058588855,1.1
2022-06-26 18:47:13.632,49.422156290052925,11.447854948041819,1.2000000000000002
2022-06-26 18:47:13.732,49.422156448447936,11.44785463942706,1.2000000000000002
2022-06-26 18:47:13.832,49.42215671002108,11.44785479913551,1.2000000000000002
2022-06-26 18:47:13.932,49.42215688295833,11.447854516018143,1.2000000000000002
2022-06-26 18:47:14.032,49.422156979897444,11.447854621925751,1.2000000000000002
2022-06-26 18:47:14.132,49.4221571517231,11.447854369284734,1.2000000000000002
2022-06-26 18:47:14.232,49.42215714545998,11.447854379890783,1.2000000000000002
2022-06-26 18:47:14.332,49.42215729754917,11.44785417038119,1.2000000000000002
2022-06-26 18:47:14.432,49.42215756063613,11.447854263129184,1.2000000000000002
2022-06-26 18:47:14.532,49.422157720652294,11.447854111361279,1.2000000000000002
2022-06-26 18:47:14.632,49.422157526980065,11.447854442683038,1.2000000000000002
2022-06-26 18:47:14.732,49.42215765387382,11.447854366677069,1.2000000000000002
2022-06-26 18:47:14.832,49.42215769041737,11.447854404223152,1.2000000000000002
2022-06-26 18:47:14.932,49.42215780814659,11.447854367201572,1.2000000000000002
